,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA01,citric,pseudomonas
1,7,0,0,PA01,citric,pseudomonas
2,7,0,0,PA01,citric,pseudomonas
3,7,0,1,PA01,citric,pseudomonas
4,7,0,1,PA01,citric,pseudomonas
5,7,0,1,PA01,citric,pseudomonas
6,7,5,0,PA01,citric,pseudomonas
7,7,5,0,PA01,citric,pseudomonas
8,7,5,0,PA01,citric,pseudomonas
9,7,5,1,PA01,citric,pseudomonas
10,7,5,1,PA01,citric,pseudomonas
11,7,5,1,PA01,citric,pseudomonas
12,7,10,0,PA01,citric,pseudomonas
13,7,10,0,PA01,citric,pseudomonas
14,7,10,0,PA01,citric,pseudomonas
15,7,10,1,PA01,citric,pseudomonas
16,7,10,1,PA01,citric,pseudomonas
17,7,10,1,PA01,citric,pseudomonas
18,7,20,0,PA01,citric,pseudomonas
19,7,20,0,PA01,citric,pseudomonas
20,7,20,0,PA01,citric,pseudomonas
21,7,20,1,PA01,citric,pseudomonas
22,7,20,1,PA01,citric,pseudomonas
23,7,20,1,PA01,citric,pseudomonas
24,6.5,0,0,PA01,citric,pseudomonas
25,6.5,0,0,PA01,citric,pseudomonas
26,6.5,0,0,PA01,citric,pseudomonas
27,6.5,0,1,PA01,citric,pseudomonas
28,6.5,0,1,PA01,citric,pseudomonas
29,6.5,0,1,PA01,citric,pseudomonas
30,6.5,5,0,PA01,citric,pseudomonas
31,6.5,5,0,PA01,citric,pseudomonas
32,6.5,5,0,PA01,citric,pseudomonas
33,6.5,5,1,PA01,citric,pseudomonas
34,6.5,5,1,PA01,citric,pseudomonas
35,6.5,5,1,PA01,citric,pseudomonas
36,6.5,10,0,PA01,citric,pseudomonas
37,6.5,10,0,PA01,citric,pseudomonas
38,6.5,10,0,PA01,citric,pseudomonas
39,6.5,10,1,PA01,citric,pseudomonas
40,6.5,10,1,PA01,citric,pseudomonas
41,6.5,10,1,PA01,citric,pseudomonas
42,6.5,20,0,PA01,citric,pseudomonas
43,6.5,20,0,PA01,citric,pseudomonas
44,6.5,20,0,PA01,citric,pseudomonas
45,6.5,20,1,PA01,citric,pseudomonas
46,6.5,20,1,PA01,citric,pseudomonas
47,6.5,20,1,PA01,citric,pseudomonas
48,6,0,0,PA01,citric,pseudomonas
49,6,0,0,PA01,citric,pseudomonas
50,6,0,0,PA01,citric,pseudomonas
51,6,0,1,PA01,citric,pseudomonas
52,6,0,1,PA01,citric,pseudomonas
53,6,0,1,PA01,citric,pseudomonas
54,6,5,0,PA01,citric,pseudomonas
55,6,5,0,PA01,citric,pseudomonas
56,6,5,0,PA01,citric,pseudomonas
57,6,5,1,PA01,citric,pseudomonas
58,6,5,1,PA01,citric,pseudomonas
59,6,5,1,PA01,citric,pseudomonas
60,6,10,0,PA01,citric,pseudomonas
61,6,10,0,PA01,citric,pseudomonas
62,6,10,0,PA01,citric,pseudomonas
63,6,10,1,PA01,citric,pseudomonas
64,6,10,1,PA01,citric,pseudomonas
65,6,10,1,PA01,citric,pseudomonas
66,6,20,0,PA01,citric,pseudomonas
67,6,20,0,PA01,citric,pseudomonas
68,6,20,0,PA01,citric,pseudomonas
69,6,20,1,PA01,citric,pseudomonas
70,6,20,1,PA01,citric,pseudomonas
71,6,20,1,PA01,citric,pseudomonas
72,5.5,0,0,PA01,citric,pseudomonas
73,5.5,0,0,PA01,citric,pseudomonas
74,5.5,0,0,PA01,citric,pseudomonas
75,5.5,0,1,PA01,citric,pseudomonas
76,5.5,0,1,PA01,citric,pseudomonas
77,5.5,0,1,PA01,citric,pseudomonas
78,5.5,5,0,PA01,citric,pseudomonas
79,5.5,5,0,PA01,citric,pseudomonas
80,5.5,5,0,PA01,citric,pseudomonas
81,5.5,5,1,PA01,citric,pseudomonas
82,5.5,5,1,PA01,citric,pseudomonas
83,5.5,5,1,PA01,citric,pseudomonas
84,5.5,10,0,PA01,citric,pseudomonas
85,5.5,10,0,PA01,citric,pseudomonas
86,5.5,10,0,PA01,citric,pseudomonas
87,5.5,10,1,PA01,citric,pseudomonas
88,5.5,10,1,PA01,citric,pseudomonas
89,5.5,10,1,PA01,citric,pseudomonas
90,5.5,20,0,PA01,citric,pseudomonas
91,5.5,20,0,PA01,citric,pseudomonas
92,5.5,20,0,PA01,citric,pseudomonas
93,5.5,20,1,PA01,citric,pseudomonas
94,5.5,20,1,PA01,citric,pseudomonas
95,5.5,20,1,PA01,citric,pseudomonas
96,5,0,0,PA01,citric,pseudomonas
97,5,0,0,PA01,citric,pseudomonas
98,5,0,0,PA01,citric,pseudomonas
99,5,0,1,PA01,citric,pseudomonas
100,5,0,1,PA01,citric,pseudomonas
101,5,0,1,PA01,citric,pseudomonas
102,5,5,0,PA01,citric,pseudomonas
103,5,5,0,PA01,citric,pseudomonas
104,5,5,0,PA01,citric,pseudomonas
105,5,5,1,PA01,citric,pseudomonas
106,5,5,1,PA01,citric,pseudomonas
107,5,5,1,PA01,citric,pseudomonas
108,5,10,0,PA01,citric,pseudomonas
109,5,10,0,PA01,citric,pseudomonas
110,5,10,0,PA01,citric,pseudomonas
111,5,10,1,PA01,citric,pseudomonas
112,5,10,1,PA01,citric,pseudomonas
113,5,10,1,PA01,citric,pseudomonas
114,5,20,0,PA01,citric,pseudomonas
115,5,20,0,PA01,citric,pseudomonas
116,5,20,0,PA01,citric,pseudomonas
117,5,20,1,PA01,citric,pseudomonas
118,5,20,1,PA01,citric,pseudomonas
119,5,20,1,PA01,citric,pseudomonas
