,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA01,lactic,pseudomonas
1,7,0,0,PA01,lactic,pseudomonas
2,7,0,0,PA01,lactic,pseudomonas
3,7,0,1,PA01,lactic,pseudomonas
4,7,0,1,PA01,lactic,pseudomonas
5,7,0,1,PA01,lactic,pseudomonas
6,7,5,0,PA01,lactic,pseudomonas
7,7,5,0,PA01,lactic,pseudomonas
8,7,5,0,PA01,lactic,pseudomonas
9,7,5,1,PA01,lactic,pseudomonas
10,7,5,1,PA01,lactic,pseudomonas
11,7,5,1,PA01,lactic,pseudomonas
12,7,10,0,PA01,lactic,pseudomonas
13,7,10,0,PA01,lactic,pseudomonas
14,7,10,0,PA01,lactic,pseudomonas
15,7,10,1,PA01,lactic,pseudomonas
16,7,10,1,PA01,lactic,pseudomonas
17,7,10,1,PA01,lactic,pseudomonas
18,7,20,0,PA01,lactic,pseudomonas
19,7,20,0,PA01,lactic,pseudomonas
20,7,20,0,PA01,lactic,pseudomonas
21,7,20,1,PA01,lactic,pseudomonas
22,7,20,1,PA01,lactic,pseudomonas
23,7,20,1,PA01,lactic,pseudomonas
24,6.5,0,0,PA01,lactic,pseudomonas
25,6.5,0,0,PA01,lactic,pseudomonas
26,6.5,0,0,PA01,lactic,pseudomonas
27,6.5,0,1,PA01,lactic,pseudomonas
28,6.5,0,1,PA01,lactic,pseudomonas
29,6.5,0,1,PA01,lactic,pseudomonas
30,6.5,5,0,PA01,lactic,pseudomonas
31,6.5,5,0,PA01,lactic,pseudomonas
32,6.5,5,0,PA01,lactic,pseudomonas
33,6.5,5,1,PA01,lactic,pseudomonas
34,6.5,5,1,PA01,lactic,pseudomonas
35,6.5,5,1,PA01,lactic,pseudomonas
36,6.5,10,0,PA01,lactic,pseudomonas
37,6.5,10,0,PA01,lactic,pseudomonas
38,6.5,10,0,PA01,lactic,pseudomonas
39,6.5,10,1,PA01,lactic,pseudomonas
40,6.5,10,1,PA01,lactic,pseudomonas
41,6.5,10,1,PA01,lactic,pseudomonas
42,6.5,20,0,PA01,lactic,pseudomonas
43,6.5,20,0,PA01,lactic,pseudomonas
44,6.5,20,0,PA01,lactic,pseudomonas
45,6.5,20,1,PA01,lactic,pseudomonas
46,6.5,20,1,PA01,lactic,pseudomonas
47,6.5,20,1,PA01,lactic,pseudomonas
48,6,0,0,PA01,lactic,pseudomonas
49,6,0,0,PA01,lactic,pseudomonas
50,6,0,0,PA01,lactic,pseudomonas
51,6,0,1,PA01,lactic,pseudomonas
52,6,0,1,PA01,lactic,pseudomonas
53,6,0,1,PA01,lactic,pseudomonas
54,6,5,0,PA01,lactic,pseudomonas
55,6,5,0,PA01,lactic,pseudomonas
56,6,5,0,PA01,lactic,pseudomonas
57,6,5,1,PA01,lactic,pseudomonas
58,6,5,1,PA01,lactic,pseudomonas
59,6,5,1,PA01,lactic,pseudomonas
60,6,10,0,PA01,lactic,pseudomonas
61,6,10,0,PA01,lactic,pseudomonas
62,6,10,0,PA01,lactic,pseudomonas
