,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA01,malic,pseudomonas
1,7,0,0,PA01,malic,pseudomonas
2,7,0,0,PA01,malic,pseudomonas
3,7,0,1,PA01,malic,pseudomonas
4,7,0,1,PA01,malic,pseudomonas
5,7,0,1,PA01,malic,pseudomonas
6,7,5,0,PA01,malic,pseudomonas
7,7,5,0,PA01,malic,pseudomonas
8,7,5,0,PA01,malic,pseudomonas
9,7,5,1,PA01,malic,pseudomonas
10,7,5,1,PA01,malic,pseudomonas
11,7,5,1,PA01,malic,pseudomonas
12,7,10,0,PA01,malic,pseudomonas
13,7,10,0,PA01,malic,pseudomonas
14,7,10,0,PA01,malic,pseudomonas
15,7,10,1,PA01,malic,pseudomonas
16,7,10,1,PA01,malic,pseudomonas
17,7,10,1,PA01,malic,pseudomonas
18,7,20,0,PA01,malic,pseudomonas
19,7,20,0,PA01,malic,pseudomonas
20,7,20,0,PA01,malic,pseudomonas
21,7,20,1,PA01,malic,pseudomonas
22,7,20,1,PA01,malic,pseudomonas
23,7,20,1,PA01,malic,pseudomonas
24,6.5,0,0,PA01,malic,pseudomonas
25,6.5,0,0,PA01,malic,pseudomonas
26,6.5,0,0,PA01,malic,pseudomonas
27,6.5,0,1,PA01,malic,pseudomonas
28,6.5,0,1,PA01,malic,pseudomonas
29,6.5,0,1,PA01,malic,pseudomonas
30,6.5,5,0,PA01,malic,pseudomonas
31,6.5,5,0,PA01,malic,pseudomonas
32,6.5,5,0,PA01,malic,pseudomonas
33,6.5,5,1,PA01,malic,pseudomonas
34,6.5,5,1,PA01,malic,pseudomonas
35,6.5,5,1,PA01,malic,pseudomonas
36,6.5,10,0,PA01,malic,pseudomonas
37,6.5,10,0,PA01,malic,pseudomonas
38,6.5,10,0,PA01,malic,pseudomonas
39,6.5,10,1,PA01,malic,pseudomonas
40,6.5,10,1,PA01,malic,pseudomonas
41,6.5,10,1,PA01,malic,pseudomonas
42,6.5,20,0,PA01,malic,pseudomonas
43,6.5,20,0,PA01,malic,pseudomonas
44,6.5,20,0,PA01,malic,pseudomonas
45,6.5,20,1,PA01,malic,pseudomonas
46,6.5,20,1,PA01,malic,pseudomonas
47,6.5,20,1,PA01,malic,pseudomonas
48,6,0,0,PA01,malic,pseudomonas
49,6,0,0,PA01,malic,pseudomonas
50,6,0,0,PA01,malic,pseudomonas
51,6,0,1,PA01,malic,pseudomonas
52,6,0,1,PA01,malic,pseudomonas
53,6,0,1,PA01,malic,pseudomonas
54,6,5,0,PA01,malic,pseudomonas
55,6,5,0,PA01,malic,pseudomonas
56,6,5,0,PA01,malic,pseudomonas
57,6,5,1,PA01,malic,pseudomonas
58,6,5,1,PA01,malic,pseudomonas
59,6,5,1,PA01,malic,pseudomonas
60,6,10,0,PA01,malic,pseudomonas
61,6,10,0,PA01,malic,pseudomonas
62,6,10,0,PA01,malic,pseudomonas
63,6,10,1,PA01,malic,pseudomonas
64,6,10,1,PA01,malic,pseudomonas
65,6,10,1,PA01,malic,pseudomonas
66,6,20,0,PA01,malic,pseudomonas
67,6,20,0,PA01,malic,pseudomonas
68,6,20,0,PA01,malic,pseudomonas
69,6,20,1,PA01,malic,pseudomonas
70,6,20,1,PA01,malic,pseudomonas
71,6,20,1,PA01,malic,pseudomonas
72,5.5,0,0,PA01,malic,pseudomonas
73,5.5,0,0,PA01,malic,pseudomonas
74,5.5,0,0,PA01,malic,pseudomonas
75,5.5,0,1,PA01,malic,pseudomonas
76,5.5,0,1,PA01,malic,pseudomonas
77,5.5,0,1,PA01,malic,pseudomonas
78,5.5,5,0,PA01,malic,pseudomonas
79,5.5,5,0,PA01,malic,pseudomonas
80,5.5,5,0,PA01,malic,pseudomonas
81,5.5,5,1,PA01,malic,pseudomonas
82,5.5,5,1,PA01,malic,pseudomonas
83,5.5,5,1,PA01,malic,pseudomonas
84,5.5,10,0,PA01,malic,pseudomonas
85,5.5,10,0,PA01,malic,pseudomonas
86,5.5,10,0,PA01,malic,pseudomonas
87,5.5,10,1,PA01,malic,pseudomonas
88,5.5,10,1,PA01,malic,pseudomonas
89,5.5,10,1,PA01,malic,pseudomonas
90,5.5,20,0,PA01,malic,pseudomonas
91,5.5,20,0,PA01,malic,pseudomonas
92,5.5,20,0,PA01,malic,pseudomonas
93,5.5,20,1,PA01,malic,pseudomonas
94,5.5,20,1,PA01,malic,pseudomonas
95,5.5,20,1,PA01,malic,pseudomonas
96,5,0,0,PA01,malic,pseudomonas
97,5,0,0,PA01,malic,pseudomonas
98,5,0,0,PA01,malic,pseudomonas
99,5,0,1,PA01,malic,pseudomonas
100,5,0,1,PA01,malic,pseudomonas
101,5,0,1,PA01,malic,pseudomonas
102,5,5,0,PA01,malic,pseudomonas
103,5,5,0,PA01,malic,pseudomonas
104,5,5,0,PA01,malic,pseudomonas
105,5,5,1,PA01,malic,pseudomonas
106,5,5,1,PA01,malic,pseudomonas
107,5,5,1,PA01,malic,pseudomonas
108,5,10,0,PA01,malic,pseudomonas
109,5,10,0,PA01,malic,pseudomonas
110,5,10,0,PA01,malic,pseudomonas
111,5,10,1,PA01,malic,pseudomonas
112,5,10,1,PA01,malic,pseudomonas
113,5,10,1,PA01,malic,pseudomonas
114,5,20,0,PA01,malic,pseudomonas
115,5,20,0,PA01,malic,pseudomonas
116,5,20,0,PA01,malic,pseudomonas
117,5,20,1,PA01,malic,pseudomonas
118,5,20,1,PA01,malic,pseudomonas
119,5,20,1,PA01,malic,pseudomonas
