,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA01,potassium-sorbate,pseudomonas
1,7,0,0,PA01,potassium-sorbate,pseudomonas
2,7,0,0,PA01,potassium-sorbate,pseudomonas
3,7,0,1,PA01,potassium-sorbate,pseudomonas
4,7,0,1,PA01,potassium-sorbate,pseudomonas
5,7,0,1,PA01,potassium-sorbate,pseudomonas
6,7,5,0,PA01,potassium-sorbate,pseudomonas
7,7,5,0,PA01,potassium-sorbate,pseudomonas
8,7,5,0,PA01,potassium-sorbate,pseudomonas
9,7,5,1,PA01,potassium-sorbate,pseudomonas
10,7,5,1,PA01,potassium-sorbate,pseudomonas
11,7,5,1,PA01,potassium-sorbate,pseudomonas
12,7,10,0,PA01,potassium-sorbate,pseudomonas
13,7,10,0,PA01,potassium-sorbate,pseudomonas
14,7,10,0,PA01,potassium-sorbate,pseudomonas
15,7,10,1,PA01,potassium-sorbate,pseudomonas
16,7,10,1,PA01,potassium-sorbate,pseudomonas
17,7,10,1,PA01,potassium-sorbate,pseudomonas
18,7,20,0,PA01,potassium-sorbate,pseudomonas
19,7,20,0,PA01,potassium-sorbate,pseudomonas
20,7,20,0,PA01,potassium-sorbate,pseudomonas
21,7,20,1,PA01,potassium-sorbate,pseudomonas
22,7,20,1,PA01,potassium-sorbate,pseudomonas
23,7,20,1,PA01,potassium-sorbate,pseudomonas
24,6.5,0,0,PA01,potassium-sorbate,pseudomonas
25,6.5,0,0,PA01,potassium-sorbate,pseudomonas
26,6.5,0,0,PA01,potassium-sorbate,pseudomonas
27,6.5,0,1,PA01,potassium-sorbate,pseudomonas
28,6.5,0,1,PA01,potassium-sorbate,pseudomonas
29,6.5,0,1,PA01,potassium-sorbate,pseudomonas
30,6.5,5,0,PA01,potassium-sorbate,pseudomonas
31,6.5,5,0,PA01,potassium-sorbate,pseudomonas
32,6.5,5,0,PA01,potassium-sorbate,pseudomonas
33,6.5,5,1,PA01,potassium-sorbate,pseudomonas
34,6.5,5,1,PA01,potassium-sorbate,pseudomonas
35,6.5,5,1,PA01,potassium-sorbate,pseudomonas
