,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA1054,acetic,pseudomonas
1,7,0,0,PA1054,acetic,pseudomonas
2,7,0,0,PA1054,acetic,pseudomonas
3,7,0,1,PA1054,acetic,pseudomonas
4,7,0,1,PA1054,acetic,pseudomonas
5,7,0,1,PA1054,acetic,pseudomonas
6,7,5,0,PA1054,acetic,pseudomonas
7,7,5,0,PA1054,acetic,pseudomonas
8,7,5,0,PA1054,acetic,pseudomonas
9,7,5,1,PA1054,acetic,pseudomonas
10,7,5,1,PA1054,acetic,pseudomonas
11,7,5,1,PA1054,acetic,pseudomonas
12,7,10,0,PA1054,acetic,pseudomonas
13,7,10,0,PA1054,acetic,pseudomonas
14,7,10,0,PA1054,acetic,pseudomonas
15,7,10,1,PA1054,acetic,pseudomonas
16,7,10,1,PA1054,acetic,pseudomonas
17,7,10,1,PA1054,acetic,pseudomonas
18,7,20,0,PA1054,acetic,pseudomonas
19,7,20,0,PA1054,acetic,pseudomonas
20,7,20,0,PA1054,acetic,pseudomonas
21,7,20,1,PA1054,acetic,pseudomonas
22,7,20,1,PA1054,acetic,pseudomonas
23,7,20,1,PA1054,acetic,pseudomonas
24,6.5,0,0,PA1054,acetic,pseudomonas
25,6.5,0,0,PA1054,acetic,pseudomonas
26,6.5,0,0,PA1054,acetic,pseudomonas
27,6.5,0,1,PA1054,acetic,pseudomonas
28,6.5,0,1,PA1054,acetic,pseudomonas
29,6.5,0,1,PA1054,acetic,pseudomonas
30,6.5,5,0,PA1054,acetic,pseudomonas
31,6.5,5,0,PA1054,acetic,pseudomonas
32,6.5,5,0,PA1054,acetic,pseudomonas
33,6.5,5,1,PA1054,acetic,pseudomonas
34,6.5,5,1,PA1054,acetic,pseudomonas
35,6.5,5,1,PA1054,acetic,pseudomonas
36,6.5,10,0,PA1054,acetic,pseudomonas
37,6.5,10,0,PA1054,acetic,pseudomonas
38,6.5,10,0,PA1054,acetic,pseudomonas
39,6.5,10,1,PA1054,acetic,pseudomonas
40,6.5,10,1,PA1054,acetic,pseudomonas
41,6.5,10,1,PA1054,acetic,pseudomonas
42,6.5,20,0,PA1054,acetic,pseudomonas
43,6.5,20,0,PA1054,acetic,pseudomonas
44,6.5,20,0,PA1054,acetic,pseudomonas
45,6.5,20,1,PA1054,acetic,pseudomonas
46,6.5,20,1,PA1054,acetic,pseudomonas
47,6.5,20,1,PA1054,acetic,pseudomonas
48,6,0,0,PA1054,acetic,pseudomonas
49,6,0,0,PA1054,acetic,pseudomonas
50,6,0,0,PA1054,acetic,pseudomonas
51,6,0,1,PA1054,acetic,pseudomonas
52,6,0,1,PA1054,acetic,pseudomonas
53,6,0,1,PA1054,acetic,pseudomonas
54,6,5,0,PA1054,acetic,pseudomonas
55,6,5,0,PA1054,acetic,pseudomonas
56,6,5,0,PA1054,acetic,pseudomonas
57,6,5,1,PA1054,acetic,pseudomonas
58,6,5,1,PA1054,acetic,pseudomonas
59,6,5,1,PA1054,acetic,pseudomonas
60,6,10,0,PA1054,acetic,pseudomonas
61,6,10,0,PA1054,acetic,pseudomonas
62,6,10,0,PA1054,acetic,pseudomonas
63,6,10,1,PA1054,acetic,pseudomonas
64,6,10,1,PA1054,acetic,pseudomonas
65,6,10,1,PA1054,acetic,pseudomonas
66,6,20,0,PA1054,acetic,pseudomonas
67,6,20,0,PA1054,acetic,pseudomonas
68,6,20,0,PA1054,acetic,pseudomonas
69,6,20,1,PA1054,acetic,pseudomonas
70,6,20,1,PA1054,acetic,pseudomonas
71,6,20,1,PA1054,acetic,pseudomonas
72,5.5,0,0,PA1054,acetic,pseudomonas
73,5.5,0,0,PA1054,acetic,pseudomonas
74,5.5,0,0,PA1054,acetic,pseudomonas
75,5.5,0,1,PA1054,acetic,pseudomonas
76,5.5,0,1,PA1054,acetic,pseudomonas
77,5.5,0,1,PA1054,acetic,pseudomonas
78,5.5,5,0,PA1054,acetic,pseudomonas
79,5.5,5,0,PA1054,acetic,pseudomonas
80,5.5,5,0,PA1054,acetic,pseudomonas
81,5.5,5,1,PA1054,acetic,pseudomonas
82,5.5,5,1,PA1054,acetic,pseudomonas
83,5.5,5,1,PA1054,acetic,pseudomonas
84,5.5,10,0,PA1054,acetic,pseudomonas
85,5.5,10,0,PA1054,acetic,pseudomonas
86,5.5,10,0,PA1054,acetic,pseudomonas
87,5.5,10,1,PA1054,acetic,pseudomonas
88,5.5,10,1,PA1054,acetic,pseudomonas
89,5.5,10,1,PA1054,acetic,pseudomonas
90,5.5,20,0,PA1054,acetic,pseudomonas
91,5.5,20,0,PA1054,acetic,pseudomonas
92,5.5,20,0,PA1054,acetic,pseudomonas
93,5.5,20,1,PA1054,acetic,pseudomonas
94,5.5,20,1,PA1054,acetic,pseudomonas
95,5.5,20,1,PA1054,acetic,pseudomonas
96,5,0,0,PA1054,acetic,pseudomonas
97,5,0,0,PA1054,acetic,pseudomonas
98,5,0,0,PA1054,acetic,pseudomonas
99,5,0,1,PA1054,acetic,pseudomonas
100,5,0,1,PA1054,acetic,pseudomonas
101,5,0,1,PA1054,acetic,pseudomonas
102,5,5,0,PA1054,acetic,pseudomonas
103,5,5,0,PA1054,acetic,pseudomonas
104,5,5,0,PA1054,acetic,pseudomonas
105,5,5,1,PA1054,acetic,pseudomonas
106,5,5,1,PA1054,acetic,pseudomonas
107,5,5,1,PA1054,acetic,pseudomonas
108,5,10,0,PA1054,acetic,pseudomonas
109,5,10,0,PA1054,acetic,pseudomonas
110,5,10,0,PA1054,acetic,pseudomonas
111,5,10,1,PA1054,acetic,pseudomonas
112,5,10,1,PA1054,acetic,pseudomonas
113,5,10,1,PA1054,acetic,pseudomonas
114,5,20,0,PA1054,acetic,pseudomonas
115,5,20,0,PA1054,acetic,pseudomonas
116,5,20,0,PA1054,acetic,pseudomonas
117,5,20,1,PA1054,acetic,pseudomonas
118,5,20,1,PA1054,acetic,pseudomonas
119,5,20,1,PA1054,acetic,pseudomonas
