,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA1054,butyric,pseudomonas
1,7,0,0,PA1054,butyric,pseudomonas
2,7,0,0,PA1054,butyric,pseudomonas
3,7,0,1,PA1054,butyric,pseudomonas
4,7,0,1,PA1054,butyric,pseudomonas
5,7,0,1,PA1054,butyric,pseudomonas
6,7,5,0,PA1054,butyric,pseudomonas
7,7,5,0,PA1054,butyric,pseudomonas
8,7,5,0,PA1054,butyric,pseudomonas
9,7,5,1,PA1054,butyric,pseudomonas
10,7,5,1,PA1054,butyric,pseudomonas
11,7,5,1,PA1054,butyric,pseudomonas
12,7,10,0,PA1054,butyric,pseudomonas
13,7,10,0,PA1054,butyric,pseudomonas
14,7,10,0,PA1054,butyric,pseudomonas
15,7,10,1,PA1054,butyric,pseudomonas
16,7,10,1,PA1054,butyric,pseudomonas
17,7,10,1,PA1054,butyric,pseudomonas
18,7,20,0,PA1054,butyric,pseudomonas
19,7,20,0,PA1054,butyric,pseudomonas
20,7,20,0,PA1054,butyric,pseudomonas
21,7,20,1,PA1054,butyric,pseudomonas
22,7,20,1,PA1054,butyric,pseudomonas
24,6.5,0,0,PA1054,butyric,pseudomonas
25,6.5,0,0,PA1054,butyric,pseudomonas
26,6.5,0,0,PA1054,butyric,pseudomonas
27,6.5,0,1,PA1054,butyric,pseudomonas
28,6.5,0,1,PA1054,butyric,pseudomonas
29,6.5,0,1,PA1054,butyric,pseudomonas
30,6.5,5,0,PA1054,butyric,pseudomonas
31,6.5,5,0,PA1054,butyric,pseudomonas
32,6.5,5,0,PA1054,butyric,pseudomonas
33,6.5,5,1,PA1054,butyric,pseudomonas
34,6.5,5,1,PA1054,butyric,pseudomonas
35,6.5,5,1,PA1054,butyric,pseudomonas
36,6.5,10,0,PA1054,butyric,pseudomonas
37,6.5,10,0,PA1054,butyric,pseudomonas
38,6.5,10,0,PA1054,butyric,pseudomonas
39,6.5,10,1,PA1054,butyric,pseudomonas
40,6.5,10,1,PA1054,butyric,pseudomonas
41,6.5,10,1,PA1054,butyric,pseudomonas
42,6.5,20,0,PA1054,butyric,pseudomonas
43,6.5,20,0,PA1054,butyric,pseudomonas
44,6.5,20,0,PA1054,butyric,pseudomonas
45,6.5,20,1,PA1054,butyric,pseudomonas
46,6.5,20,1,PA1054,butyric,pseudomonas
47,6.5,20,1,PA1054,butyric,pseudomonas
48,6,0,0,PA1054,butyric,pseudomonas
49,6,0,0,PA1054,butyric,pseudomonas
50,6,0,0,PA1054,butyric,pseudomonas
51,6,0,1,PA1054,butyric,pseudomonas
52,6,0,1,PA1054,butyric,pseudomonas
53,6,0,1,PA1054,butyric,pseudomonas
54,6,5,0,PA1054,butyric,pseudomonas
55,6,5,0,PA1054,butyric,pseudomonas
56,6,5,0,PA1054,butyric,pseudomonas
57,6,5,1,PA1054,butyric,pseudomonas
58,6,5,1,PA1054,butyric,pseudomonas
59,6,5,1,PA1054,butyric,pseudomonas
60,6,10,0,PA1054,butyric,pseudomonas
61,6,10,0,PA1054,butyric,pseudomonas
62,6,10,0,PA1054,butyric,pseudomonas
63,6,10,1,PA1054,butyric,pseudomonas
64,6,10,1,PA1054,butyric,pseudomonas
65,6,10,1,PA1054,butyric,pseudomonas
66,6,20,0,PA1054,butyric,pseudomonas
67,6,20,0,PA1054,butyric,pseudomonas
68,6,20,0,PA1054,butyric,pseudomonas
69,6,20,1,PA1054,butyric,pseudomonas
70,6,20,1,PA1054,butyric,pseudomonas
71,6,20,1,PA1054,butyric,pseudomonas
72,5.5,0,0,PA1054,butyric,pseudomonas
73,5.5,0,0,PA1054,butyric,pseudomonas
74,5.5,0,0,PA1054,butyric,pseudomonas
75,5.5,0,1,PA1054,butyric,pseudomonas
76,5.5,0,1,PA1054,butyric,pseudomonas
77,5.5,0,1,PA1054,butyric,pseudomonas
78,5.5,5,0,PA1054,butyric,pseudomonas
79,5.5,5,0,PA1054,butyric,pseudomonas
80,5.5,5,0,PA1054,butyric,pseudomonas
81,5.5,5,1,PA1054,butyric,pseudomonas
82,5.5,5,1,PA1054,butyric,pseudomonas
83,5.5,5,1,PA1054,butyric,pseudomonas
84,5.5,10,0,PA1054,butyric,pseudomonas
85,5.5,10,0,PA1054,butyric,pseudomonas
86,5.5,10,0,PA1054,butyric,pseudomonas
87,5.5,10,1,PA1054,butyric,pseudomonas
88,5.5,10,1,PA1054,butyric,pseudomonas
89,5.5,10,1,PA1054,butyric,pseudomonas
90,5.5,20,0,PA1054,butyric,pseudomonas
91,5.5,20,0,PA1054,butyric,pseudomonas
92,5.5,20,0,PA1054,butyric,pseudomonas
93,5.5,20,1,PA1054,butyric,pseudomonas
94,5.5,20,1,PA1054,butyric,pseudomonas
95,5.5,20,1,PA1054,butyric,pseudomonas
96,5,0,0,PA1054,butyric,pseudomonas
97,5,0,0,PA1054,butyric,pseudomonas
98,5,0,0,PA1054,butyric,pseudomonas
99,5,0,1,PA1054,butyric,pseudomonas
100,5,0,1,PA1054,butyric,pseudomonas
101,5,0,1,PA1054,butyric,pseudomonas
102,5,5,0,PA1054,butyric,pseudomonas
103,5,5,0,PA1054,butyric,pseudomonas
104,5,5,0,PA1054,butyric,pseudomonas
105,5,5,1,PA1054,butyric,pseudomonas
106,5,5,1,PA1054,butyric,pseudomonas
107,5,5,1,PA1054,butyric,pseudomonas
108,5,10,0,PA1054,butyric,pseudomonas
109,5,10,0,PA1054,butyric,pseudomonas
110,5,10,0,PA1054,butyric,pseudomonas
111,5,10,1,PA1054,butyric,pseudomonas
112,5,10,1,PA1054,butyric,pseudomonas
113,5,10,1,PA1054,butyric,pseudomonas
114,5,20,0,PA1054,butyric,pseudomonas
115,5,20,0,PA1054,butyric,pseudomonas
116,5,20,0,PA1054,butyric,pseudomonas
117,5,20,1,PA1054,butyric,pseudomonas
118,5,20,1,PA1054,butyric,pseudomonas
119,5,20,1,PA1054,butyric,pseudomonas
