,pH,mM-acid,batch,strain,acid,genus
0,7,0,0,PA1054,propionic,pseudomonas
1,7,0,0,PA1054,propionic,pseudomonas
2,7,0,0,PA1054,propionic,pseudomonas
3,7,0,1,PA1054,propionic,pseudomonas
4,7,0,1,PA1054,propionic,pseudomonas
5,7,0,1,PA1054,propionic,pseudomonas
6,7,5,0,PA1054,propionic,pseudomonas
7,7,5,0,PA1054,propionic,pseudomonas
8,7,5,0,PA1054,propionic,pseudomonas
9,7,5,1,PA1054,propionic,pseudomonas
10,7,5,1,PA1054,propionic,pseudomonas
11,7,5,1,PA1054,propionic,pseudomonas
12,7,10,0,PA1054,propionic,pseudomonas
13,7,10,0,PA1054,propionic,pseudomonas
14,7,10,0,PA1054,propionic,pseudomonas
15,7,10,1,PA1054,propionic,pseudomonas
16,7,10,1,PA1054,propionic,pseudomonas
17,7,10,1,PA1054,propionic,pseudomonas
18,7,20,0,PA1054,propionic,pseudomonas
19,7,20,0,PA1054,propionic,pseudomonas
20,7,20,0,PA1054,propionic,pseudomonas
21,7,20,1,PA1054,propionic,pseudomonas
22,7,20,1,PA1054,propionic,pseudomonas
23,7,20,1,PA1054,propionic,pseudomonas
24,6.5,0,0,PA1054,propionic,pseudomonas
25,6.5,0,0,PA1054,propionic,pseudomonas
26,6.5,0,0,PA1054,propionic,pseudomonas
27,6.5,0,1,PA1054,propionic,pseudomonas
28,6.5,0,1,PA1054,propionic,pseudomonas
29,6.5,0,1,PA1054,propionic,pseudomonas
30,6.5,5,0,PA1054,propionic,pseudomonas
31,6.5,5,0,PA1054,propionic,pseudomonas
32,6.5,5,0,PA1054,propionic,pseudomonas
33,6.5,5,1,PA1054,propionic,pseudomonas
34,6.5,5,1,PA1054,propionic,pseudomonas
35,6.5,5,1,PA1054,propionic,pseudomonas
36,6.5,10,0,PA1054,propionic,pseudomonas
37,6.5,10,0,PA1054,propionic,pseudomonas
38,6.5,10,0,PA1054,propionic,pseudomonas
39,6.5,10,1,PA1054,propionic,pseudomonas
40,6.5,10,1,PA1054,propionic,pseudomonas
41,6.5,10,1,PA1054,propionic,pseudomonas
42,6.5,20,0,PA1054,propionic,pseudomonas
43,6.5,20,0,PA1054,propionic,pseudomonas
44,6.5,20,0,PA1054,propionic,pseudomonas
45,6.5,20,1,PA1054,propionic,pseudomonas
46,6.5,20,1,PA1054,propionic,pseudomonas
47,6.5,20,1,PA1054,propionic,pseudomonas
48,6,0,0,PA1054,propionic,pseudomonas
49,6,0,0,PA1054,propionic,pseudomonas
50,6,0,0,PA1054,propionic,pseudomonas
51,6,0,1,PA1054,propionic,pseudomonas
52,6,0,1,PA1054,propionic,pseudomonas
53,6,0,1,PA1054,propionic,pseudomonas
54,6,5,0,PA1054,propionic,pseudomonas
55,6,5,0,PA1054,propionic,pseudomonas
56,6,5,0,PA1054,propionic,pseudomonas
57,6,5,1,PA1054,propionic,pseudomonas
58,6,5,1,PA1054,propionic,pseudomonas
59,6,5,1,PA1054,propionic,pseudomonas
60,6,10,0,PA1054,propionic,pseudomonas
61,6,10,0,PA1054,propionic,pseudomonas
62,6,10,0,PA1054,propionic,pseudomonas
63,6,10,1,PA1054,propionic,pseudomonas
64,6,10,1,PA1054,propionic,pseudomonas
65,6,10,1,PA1054,propionic,pseudomonas
66,6,20,0,PA1054,propionic,pseudomonas
67,6,20,0,PA1054,propionic,pseudomonas
68,6,20,0,PA1054,propionic,pseudomonas
69,6,20,1,PA1054,propionic,pseudomonas
70,6,20,1,PA1054,propionic,pseudomonas
71,6,20,1,PA1054,propionic,pseudomonas
72,5.5,0,0,PA1054,propionic,pseudomonas
73,5.5,0,0,PA1054,propionic,pseudomonas
74,5.5,0,0,PA1054,propionic,pseudomonas
75,5.5,0,1,PA1054,propionic,pseudomonas
76,5.5,0,1,PA1054,propionic,pseudomonas
77,5.5,0,1,PA1054,propionic,pseudomonas
78,5.5,5,0,PA1054,propionic,pseudomonas
79,5.5,5,0,PA1054,propionic,pseudomonas
80,5.5,5,0,PA1054,propionic,pseudomonas
81,5.5,5,1,PA1054,propionic,pseudomonas
82,5.5,5,1,PA1054,propionic,pseudomonas
83,5.5,5,1,PA1054,propionic,pseudomonas
84,5.5,10,0,PA1054,propionic,pseudomonas
85,5.5,10,0,PA1054,propionic,pseudomonas
86,5.5,10,0,PA1054,propionic,pseudomonas
87,5.5,10,1,PA1054,propionic,pseudomonas
88,5.5,10,1,PA1054,propionic,pseudomonas
89,5.5,10,1,PA1054,propionic,pseudomonas
90,5.5,20,0,PA1054,propionic,pseudomonas
91,5.5,20,0,PA1054,propionic,pseudomonas
92,5.5,20,0,PA1054,propionic,pseudomonas
93,5.5,20,1,PA1054,propionic,pseudomonas
94,5.5,20,1,PA1054,propionic,pseudomonas
95,5.5,20,1,PA1054,propionic,pseudomonas
96,5,0,0,PA1054,propionic,pseudomonas
97,5,0,0,PA1054,propionic,pseudomonas
98,5,0,0,PA1054,propionic,pseudomonas
99,5,0,1,PA1054,propionic,pseudomonas
100,5,0,1,PA1054,propionic,pseudomonas
101,5,0,1,PA1054,propionic,pseudomonas
102,5,5,0,PA1054,propionic,pseudomonas
103,5,5,0,PA1054,propionic,pseudomonas
104,5,5,0,PA1054,propionic,pseudomonas
105,5,5,1,PA1054,propionic,pseudomonas
106,5,5,1,PA1054,propionic,pseudomonas
107,5,5,1,PA1054,propionic,pseudomonas
108,5,10,0,PA1054,propionic,pseudomonas
109,5,10,0,PA1054,propionic,pseudomonas
110,5,10,0,PA1054,propionic,pseudomonas
111,5,10,1,PA1054,propionic,pseudomonas
112,5,10,1,PA1054,propionic,pseudomonas
113,5,10,1,PA1054,propionic,pseudomonas
114,5,20,0,PA1054,propionic,pseudomonas
115,5,20,0,PA1054,propionic,pseudomonas
116,5,20,0,PA1054,propionic,pseudomonas
117,5,20,1,PA1054,propionic,pseudomonas
118,5,20,1,PA1054,propionic,pseudomonas
119,5,20,1,PA1054,propionic,pseudomonas
