,pH,mM-acid,batch,strain,acid,genus
0,7.0,0,1,PAB,lactic,pseudomonas
1,6.5,0,1,PAB,lactic,pseudomonas
2,6.0,0,1,PAB,lactic,pseudomonas
3,5.5,0,1,PAB,lactic,pseudomonas
4,5.0,0,1,PAB,lactic,pseudomonas
5,4.5,0,1,PAB,lactic,pseudomonas
6,4.0,0,1,PAB,lactic,pseudomonas
7,7,2.5,0,PAB,lactic,pseudomonas
8,7,2.5,0,PAB,lactic,pseudomonas
9,7,2.5,0,PAB,lactic,pseudomonas
11,7,2.5,1,PAB,lactic,pseudomonas
12,7,2.5,1,PAB,lactic,pseudomonas
13,7,5,0,PAB,lactic,pseudomonas
14,7,5,0,PAB,lactic,pseudomonas
15,7,5,0,PAB,lactic,pseudomonas
17,7,5,1,PAB,lactic,pseudomonas
18,7,5,1,PAB,lactic,pseudomonas
19,7,7.5,0,PAB,lactic,pseudomonas
20,7,7.5,0,PAB,lactic,pseudomonas
21,7,7.5,0,PAB,lactic,pseudomonas
23,7,7.5,1,PAB,lactic,pseudomonas
24,7,7.5,1,PAB,lactic,pseudomonas
25,7,10,0,PAB,lactic,pseudomonas
26,7,10,0,PAB,lactic,pseudomonas
27,7,10,0,PAB,lactic,pseudomonas
29,7,10,1,PAB,lactic,pseudomonas
30,7,10,1,PAB,lactic,pseudomonas
31,6.5,2.5,0,PAB,lactic,pseudomonas
32,6.5,2.5,0,PAB,lactic,pseudomonas
33,6.5,2.5,0,PAB,lactic,pseudomonas
35,6.5,2.5,1,PAB,lactic,pseudomonas
36,6.5,2.5,1,PAB,lactic,pseudomonas
37,6.5,5,0,PAB,lactic,pseudomonas
38,6.5,5,0,PAB,lactic,pseudomonas
39,6.5,5,0,PAB,lactic,pseudomonas
41,6.5,5,1,PAB,lactic,pseudomonas
42,6.5,5,1,PAB,lactic,pseudomonas
43,6.5,7.5,0,PAB,lactic,pseudomonas
44,6.5,7.5,0,PAB,lactic,pseudomonas
45,6.5,7.5,0,PAB,lactic,pseudomonas
47,6.5,7.5,1,PAB,lactic,pseudomonas
48,6.5,7.5,1,PAB,lactic,pseudomonas
49,6.5,10,0,PAB,lactic,pseudomonas
50,6.5,10,0,PAB,lactic,pseudomonas
51,6.5,10,0,PAB,lactic,pseudomonas
53,6.5,10,1,PAB,lactic,pseudomonas
54,6.5,10,1,PAB,lactic,pseudomonas
55,6,2.5,0,PAB,lactic,pseudomonas
56,6,2.5,0,PAB,lactic,pseudomonas
57,6,2.5,0,PAB,lactic,pseudomonas
59,6,2.5,1,PAB,lactic,pseudomonas
60,6,2.5,1,PAB,lactic,pseudomonas
61,6,5,0,PAB,lactic,pseudomonas
62,6,5,0,PAB,lactic,pseudomonas
63,6,5,0,PAB,lactic,pseudomonas
65,6,5,1,PAB,lactic,pseudomonas
66,6,5,1,PAB,lactic,pseudomonas
67,6,7.5,0,PAB,lactic,pseudomonas
68,6,7.5,0,PAB,lactic,pseudomonas
69,6,7.5,0,PAB,lactic,pseudomonas
71,6,7.5,1,PAB,lactic,pseudomonas
72,6,7.5,1,PAB,lactic,pseudomonas
73,6,10,0,PAB,lactic,pseudomonas
74,6,10,0,PAB,lactic,pseudomonas
75,6,10,0,PAB,lactic,pseudomonas
77,6,10,1,PAB,lactic,pseudomonas
78,6,10,1,PAB,lactic,pseudomonas
79,5.5,2.5,0,PAB,lactic,pseudomonas
80,5.5,2.5,0,PAB,lactic,pseudomonas
81,5.5,2.5,0,PAB,lactic,pseudomonas
83,5.5,2.5,1,PAB,lactic,pseudomonas
84,5.5,2.5,1,PAB,lactic,pseudomonas
85,5.5,5,0,PAB,lactic,pseudomonas
86,5.5,5,0,PAB,lactic,pseudomonas
87,5.5,5,0,PAB,lactic,pseudomonas
89,5.5,5,1,PAB,lactic,pseudomonas
90,5.5,5,1,PAB,lactic,pseudomonas
91,5.5,7.5,0,PAB,lactic,pseudomonas
92,5.5,7.5,0,PAB,lactic,pseudomonas
93,5.5,7.5,0,PAB,lactic,pseudomonas
95,5.5,7.5,1,PAB,lactic,pseudomonas
96,5.5,7.5,1,PAB,lactic,pseudomonas
97,5.5,10,0,PAB,lactic,pseudomonas
98,5.5,10,0,PAB,lactic,pseudomonas
99,5.5,10,0,PAB,lactic,pseudomonas
101,5.5,10,1,PAB,lactic,pseudomonas
102,5.5,10,1,PAB,lactic,pseudomonas
103,5,2.5,0,PAB,lactic,pseudomonas
104,5,2.5,0,PAB,lactic,pseudomonas
105,5,2.5,0,PAB,lactic,pseudomonas
107,5,2.5,1,PAB,lactic,pseudomonas
108,5,2.5,1,PAB,lactic,pseudomonas
109,5,5,0,PAB,lactic,pseudomonas
110,5,5,0,PAB,lactic,pseudomonas
111,5,5,0,PAB,lactic,pseudomonas
113,5,5,1,PAB,lactic,pseudomonas
114,5,5,1,PAB,lactic,pseudomonas
115,5,7.5,0,PAB,lactic,pseudomonas
116,5,7.5,0,PAB,lactic,pseudomonas
117,5,7.5,0,PAB,lactic,pseudomonas
119,5,7.5,1,PAB,lactic,pseudomonas
120,5,7.5,1,PAB,lactic,pseudomonas
121,5,10,0,PAB,lactic,pseudomonas
122,5,10,0,PAB,lactic,pseudomonas
123,5,10,0,PAB,lactic,pseudomonas
125,5,10,1,PAB,lactic,pseudomonas
126,5,10,1,PAB,lactic,pseudomonas
127,4.5,2.5,0,PAB,lactic,pseudomonas
128,4.5,2.5,0,PAB,lactic,pseudomonas
129,4.5,2.5,0,PAB,lactic,pseudomonas
131,4.5,2.5,1,PAB,lactic,pseudomonas
132,4.5,2.5,1,PAB,lactic,pseudomonas
133,4.5,5,0,PAB,lactic,pseudomonas
134,4.5,5,0,PAB,lactic,pseudomonas
135,4.5,5,0,PAB,lactic,pseudomonas
137,4.5,5,1,PAB,lactic,pseudomonas
138,4.5,5,1,PAB,lactic,pseudomonas
139,4.5,7.5,0,PAB,lactic,pseudomonas
140,4.5,7.5,0,PAB,lactic,pseudomonas
141,4.5,7.5,0,PAB,lactic,pseudomonas
143,4.5,7.5,1,PAB,lactic,pseudomonas
144,4.5,7.5,1,PAB,lactic,pseudomonas
145,4.5,10,0,PAB,lactic,pseudomonas
146,4.5,10,0,PAB,lactic,pseudomonas
147,4.5,10,0,PAB,lactic,pseudomonas
149,4.5,10,1,PAB,lactic,pseudomonas
150,4.5,10,1,PAB,lactic,pseudomonas
151,4,2.5,0,PAB,lactic,pseudomonas
152,4,2.5,0,PAB,lactic,pseudomonas
153,4,2.5,0,PAB,lactic,pseudomonas
155,4,2.5,1,PAB,lactic,pseudomonas
156,4,2.5,1,PAB,lactic,pseudomonas
157,4,5,0,PAB,lactic,pseudomonas
158,4,5,0,PAB,lactic,pseudomonas
159,4,5,0,PAB,lactic,pseudomonas
161,4,5,1,PAB,lactic,pseudomonas
162,4,5,1,PAB,lactic,pseudomonas
163,4,7.5,0,PAB,lactic,pseudomonas
164,4,7.5,0,PAB,lactic,pseudomonas
165,4,7.5,0,PAB,lactic,pseudomonas
167,4,7.5,1,PAB,lactic,pseudomonas
168,4,7.5,1,PAB,lactic,pseudomonas
169,4,10,0,PAB,lactic,pseudomonas
170,4,10,0,PAB,lactic,pseudomonas
171,4,10,0,PAB,lactic,pseudomonas
173,4,10,1,PAB,lactic,pseudomonas
174,4,10,1,PAB,lactic,pseudomonas
