,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],E[f(23.75)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)],std[f(23.75)]
0,6.5,5.0,0.41152219300255005,0.3358997153319593,0.2562952149018258,0.17466111416250893,0.09301305308270416,0.013354400290462644,-0.06239894031035398,-0.1324897181854672,-0.1953823850162428,-0.24981564326930517,-0.2948405407493571,-0.3298440509935978,-0.3545555015715925,-0.3690374964044734,-0.3736615304507232,-0.36907091994747304,-0.35613281683556314,-0.33588423289560426,-0.30947323387569786,-0.2781013214498147,-0.24296768157511658,-0.20522044694642844,-0.1659157879435998,-0.12598671084257043,-0.0862225982148613,-0.04725937323781796,-0.009579477894507719,0.026478955804392815,0.06070680664061797,0.09300199588257545,0.12334554178474855,0.22717920074728887,0.19166983079382321,0.16730554235997194,0.1519528700482387,0.14280821854880113,0.13721072149387972,0.1332472944225096,0.1298658504418942,0.12667648679083895,0.12368021919368613,0.12104454591365738,0.11895284642192172,0.11752784589228431,0.11681036950159683,0.11677763693693738,0.11737398520411926,0.1185359538536076,0.12020077280572476,0.12229796125900749,0.12473076660312438,0.12735994638997697,0.13000521803736143,0.1324774503757754,0.13465704714602675,0.13663081659543055,0.13889417375005186,0.1425945628039642,0.14970440349508435,0.162881620290803,0.18483880359172822,0.2175306979873377
1,6.5,10.0,0.2639891565199403,0.2453697121817053,0.20670102734081888,0.1499810377634975,0.07786027951707057,-0.006461345135763615,-0.09936358643568066,-0.1969553489867766,-0.2952376073751509,-0.39027164275018483,-0.4783432835271233,-0.5561172391639346,-0.6207703830397783,-0.6701006393053187,-0.7026049017414902,-0.7175222049378629,-0.714842292186945,-0.6952789589144177,-0.6602113938860671,-0.6115972309833855,-0.551863237436549,-0.48377973610421204,-0.41032605922843723,-0.33455386506279294,-0.2594557787872481,-0.18784405214289068,-0.12224598624287841,-0.06481874463131171,-0.01728632123301599,0.019098994035216747,0.04357338169964565,0.22270066802725685,0.18513258716199824,0.16121908478690292,0.14799600472433982,0.1412545077322618,0.13726287760242475,0.13377763015651778,0.1299935965689417,0.12603875665750752,0.12243926590115183,0.11969140350215383,0.11799660141331379,0.11720644884471561,0.11695331664575218,0.11686257847544697,0.11673100817056303,0.1166014035328604,0.11672504565691023,0.11743365174396536,0.118967468678904,0.12133579644883764,0.12427948413398421,0.1273620684555167,0.130163911631981,0.13253646551815906,0.13489299398773338,0.1385009745958613,0.14564088326709093,0.15932986363866566,0.1824473535366747,0.2167978351441245
2,6.5,20.0,-0.30327801208447336,-0.2819973035999385,-0.2530328647389045,-0.21922463498774544,-0.1835818577071921,-0.14912160620285175,-0.11870253341529063,-0.09486199634597131,-0.07966685240395542,-0.0745862354181033,-0.08039487317517756,-0.09711279418296453,-0.12398588654345856,-0.15950878022748421,-0.20148960917559663,-0.24715252206835944,-0.2932730101854581,-0.3363388282952558,-0.3727256878489235,-0.39888036933856263,-0.41149889277561186,-0.407691606237912,-0.3851262853668845,-0.3421415222712189,-0.2778260738755846,-0.1920609126861479,-0.08552229727365887,0.04035098718911753,0.18342523224589363,0.3409674253580613,0.5097631476715946,0.24636449699264215,0.21200043346709851,0.18850107768034666,0.1726891387490792,0.16161673340342408,0.15323304021918954,0.14646616921410543,0.14090346822707606,0.13638543624122715,0.1327213524314705,0.12960845796831816,0.1267203092962569,0.12386503670226132,0.12110918426104296,0.11879891021546644,0.11745576578582242,0.11757084706658397,0.11937895536516618,0.12273812755177403,0.12718449433034357,0.13211681198492845,0.13700075046596633,0.14151771238422925,0.14564451202727552,0.14969388479013132,0.15434649660057448,0.16069913835492491,0.17030946701878646,0.1851628844515197,0.20747463131828425,0.23934054085531176
3,6.0,5.0,0.39603685358678303,0.27726084534490075,0.15390160861076688,0.029143042385945495,-0.09371863988425182,-0.21139754764262828,-0.3207426033528702,-0.41885886477289597,-0.5032198415210458,-0.5717644477643785,-0.6229742526325427,-0.6559271372805652,-0.67032402254598,-0.6664886507212933,-0.6453400504803056,-0.6083400156039686,-0.557418644765684,-0.4948823845264686,-0.42330881103383794,-0.3454362067915951,-0.26405001371844405,-0.181874981778814,-0.10147636873032763,-0.025173897038261662,0.045026741830634674,0.10748485749067282,0.16095516252837214,0.20460000225174943,0.2379825493445195,0.261045037006406,0.27407215061434775,0.22334893449043425,0.190644608474607,0.16786146350025583,0.1528695280163655,0.14330759353561814,0.1371283320216219,0.132889434679495,0.12972651951645459,0.12716741494771866,0.12495199082938657,0.12292588993377979,0.121010469955839,0.11921618532813222,0.11765969045431042,0.11655366387737422,0.11615590984153483,0.11668196822593972,0.11821407647009348,0.12064362261542011,0.12367588708483641,0.12689534453640125,0.1298653506809213,0.13224226030337102,0.13390018319207014,0.13508088592970333,0.136582601681269,0.13995636062477873,0.1475598323196005,0.1622110181225082,0.186408820050001,0.2216586937974199
4,6.0,10.0,-0.12590464464130335,-0.2568870003389169,-0.38453916252555415,-0.5074882583732342,-0.6243824590085972,-0.7339015497568876,-0.834769524779646,-0.9257699407381332,-1.0057651063148503,-1.073718871478817,-1.1287228468731567,-1.1700243318000614,-1.1970566413600123,-1.2094677597893069,-1.2071472631363322,-1.1902487079761512,-1.1592052827685893,-1.1147373073523317,-1.057850263828112,-0.989821231200339,-0.912175641423884,-0.8266517273155766,-0.7351569107319007,-0.6397152628188021,-0.5424091504167532,-0.4453177858120684,-0.350455411022817,-0.2597114589959783,-0.17479559705965642,-0.09719014990107788,-0.028112529870760104,0.2184420426162066,0.18409012623570045,0.1604901214906989,0.14591774871434937,0.13779473401517384,0.13343446391349925,0.13074429126257775,0.1284626444399035,0.12603304099660242,0.12336502106940826,0.12061588218180404,0.11803030524831867,0.11583844887007229,0.11420747647431691,0.11323602091664227,0.11297628508264153,0.11345947360186522,0.11470536958994644,0.11670627687157067,0.11938959952180309,0.12258273888956557,0.12600511584321558,0.12930952121488967,0.13218492213173005,0.1345293672482403,0.13670218846405052,0.13983856261494612,0.14611516170029407,0.15864339891955687,0.1806776994513211,0.21450146710812468
5,6.0,20.0,0.21712490711235913,-0.3071683056772505,-0.8207223534223262,-1.3168625108683532,-1.7895261480777742,-2.233435389241842,-2.6442408576089056,-3.018630985607941,-3.354400750815772,-3.6504778373078985,-3.9069050490625097,-4.124779740659095,-4.306153013754214,-4.453895286981003,-4.571533770770085,-4.663069362224635,-4.732783930341635,-4.785044332114432,-4.824114142720493,-4.8539803198019555,-4.878202842532604,-4.899791465284678,-4.921116221648046,-4.9438513005669344,-4.9689552462899576,-4.99668415462357,-5.026637219588698,-5.057827833656619,-5.088778200003078,-5.117628350279721,-5.14225618775113,0.24556557522920225,0.2123401795958403,0.18795299515210853,0.17104544667888497,0.15998077465233496,0.15298089942688248,0.14835139653809895,0.144685928200906,0.14098615260476363,0.13669972415536194,0.1317082160210852,0.12628222410473253,0.12100069780847467,0.11661395445986361,0.11383964992436915,0.1131275730840739,0.11450001885085867,0.11756805540618888,0.12171316685172466,0.12631202998851682,0.1308953445943105,0.13521325722929384,0.1392341273928922,0.1431210319531746,0.14722912979869598,0.15216169437203042,0.15889294659462216,0.1689091688052681,0.1842422018815603,0.20724888101021477,0.24015312368264788
6,5.5,5.0,0.22155515514252763,-0.07147604909410366,-0.3609709132043624,-0.6428863388310337,-0.9133204385407074,-1.16860547691359,-1.40539408085435,-1.6207362125842537,-1.8121450860930877,-1.9776480448230602,-2.115822492469823,-2.2258147819666374,-2.307342497517409,-2.3606792885475607,-2.386624807153745,-2.3864599208276966,-2.3618897064105218,-2.3149775471107494,-2.2480721082465625,-2.16372972561675,-2.064637531941769,-1.953536938163831,-1.8331525690145798,-1.7061275451593905,-1.574967084112891,-1.4419920546961953,-1.3093026086600548,-1.1787527131806343,-1.051934569406764,-0.930173036231201,-0.8145288030901344,0.22389006305212023,0.1895365524977472,0.165781100317906,0.15081963670066087,0.14214761891033717,0.13723025041603062,0.13409737567405672,0.13153333957551314,0.1289606449972136,0.12623020670856824,0.1234343569530434,0.12077458717002705,0.11847854510221183,0.11675357948641876,0.11576236589073553,0.11560915396987365,0.1163297042750916,0.11788143816664749,0.12013715809358529,0.12288806171047403,0.12586190986864843,0.1287624224836758,0.13133300935675532,0.13345560309309062,0.13529365388000456,0.13748628154735004,0.14136238306385038,0.14904319054689594,0.1631967405155067,0.18635101201788237,0.22017688419037043
7,5.5,10.0,0.5786557222308686,0.09838384429194262,-0.39207261456991266,-0.887099728307358,-1.3810564592897974,-1.8684012286524723,-2.3438140819965985,-2.8023109572518567,-3.239345079642514,-3.6508936714996416,-4.033526923514053,-4.384456618746675,-4.701565254262009,-4.983414174823371,-5.229231502248131,-5.438881906155978,-5.612820332362383,-5.752030777141294,-5.857955268054476,-5.9324149296940405,-5.9775260404773904,-5.9956153950068245,-5.989138200306814,-5.960599248648418,-5.912482410743122,-5.847188889066598,-5.766985076440004,-5.673962853720448,-5.570010540457573,-5.456795989002677,-5.335759843882511,0.21867071181223288,0.18376481388163943,0.15995680302167561,0.14536349038655727,0.1373362912478975,0.133191695135094,0.13085978842897855,0.12907115024557958,0.12721250195537523,0.12509563422628744,0.1227660521337942,0.12037783568621906,0.11812248507428702,0.11619428202751912,0.11477411729535561,0.11401685385159425,0.11403425887186372,0.11487326846639222,0.11649328929167317,0.1187550049072912,0.12142929448790446,0.12423240210513851,0.12689318263823085,0.12925718979771514,0.13144074488875684,0.1340416196584283,0.1383757234892697,0.14660580756185923,0.1615007842823797,0.18571660171571178,0.22103706649339128
8,5.5,20.0,0.23973966764270777,-0.18080762606580722,-0.6117290280945538,-1.0474514310368384,-1.4822908198905924,-1.9106074914426607,-2.326963062959163,-2.726273727651158,-3.103952635281315,-3.456036568942055,-3.7792901278318043,-4.0712840622453665,-4.330443270042996,-4.556063758206232,-4.7482961202470175,-4.908098572375162,-5.037160337692726,-5.1377996574887135,-5.212841237029753,-5.265479293687855,-5.299130617419426,-5.3172876474939095,-5.323373478455051,-5.320609240559706,-5.311896225124139,-5.299718507707075,-5.286069016389314,-5.272402296429301,-5.259612517098165,-5.248038780457314,-5.237494855418438,0.24085373388949272,0.20909457554092323,0.1870807213018895,0.1722335218294887,0.16199813951417094,0.15439258591179747,0.1481910324895127,0.14279194575318493,0.13796697242948056,0.13363338975267147,0.12971989873344925,0.1261343720359371,0.12280845894004605,0.1197727953016992,0.11721315144346499,0.11546844750375827,0.11495093068516918,0.11599755907616849,0.11871298805241938,0.1228865514950059,0.12803276002893854,0.13353190986457442,0.1388089807651365,0.1435095779154091,0.14766897400824,0.15187901765514364,0.1574340736417788,0.16635901225262226,0.18115877805831615,0.20424364664118594,0.2373301467866439
9,5.0,5.0,0.2030508207420643,-0.1061951065609046,-0.4313137663539292,-0.7699627199227349,-1.1195639847568468,-1.4773247742483775,-1.8402616102782985,-2.2052276163041866,-2.568942741563097,-2.9280293188164386,-3.279050896286572,-3.618555243857467,-3.943122169583754,-4.249413692997914,-4.534227765945608,-4.794553048467545,-5.02762437027324,-5.230976213774207,-5.402493435012608,-5.540457539776659,-5.643585722364401,-5.711061693560479,-5.74255808217554,-5.738246669872254,-5.69879844311017,-5.625371332321376,-5.519586669888655,-5.383494503986837,-5.21952917259014,-5.0304558134477215,-4.819309895630615,0.22991840742132355,0.19471350745786448,0.1701046779336713,0.1544313659590574,0.1452166220683091,0.13985263533881642,0.13626535466514397,0.13317188483575504,0.1299890535044657,0.12661665490664845,0.1232291302178777,0.12011355134087254,0.11755695895580505,0.11577894781141049,0.11490144986529954,0.11494866590348933,0.11586442569142003,0.11753269667441202,0.1197931111879843,0.12244823410146001,0.12527213477962765,0.12803183876659446,0.13053699697730417,0.1327308308735339,0.13483589896883763,0.13755139753728501,0.14225806036016236,0.15108399397390976,0.16660949228268349,0.1911853703698242,0.22630321405134662
