,ph,mMacid,mean,std
0,7.0,0.0,0.687547351643,0.0372639148059
1,7.0,5.0,0.676056049154,0.0371054058986
2,7.0,10.0,0.682272966312,0.0370914021882
3,7.0,20.0,0.662857115601,0.0377506692282
4,6.5,0.0,0.684853053711,0.0453053838358
5,6.5,5.0,0.568147219204,0.0560773626815
6,6.5,10.0,0.625698385378,0.0722204880016
7,6.5,20.0,0.705776142529,0.0533563637835
8,6.0,0.0,0.627834924868,0.0401424945322
9,6.0,5.0,0.454341017721,0.0456063946404
10,6.0,10.0,0.464696300746,0.0418935174744
11,6.0,20.0,0.11120379262,0.031461896672
12,5.5,0.0,0.594109451543,0.0311193921201
13,5.5,5.0,0.301368086677,0.0242048350104
14,5.5,10.0,0.192932375607,0.0530069148437
15,5.5,20.0,0.0805596890635,0.0300230196003
16,5.0,0.0,0.466158456613,0.0210048976656
17,5.0,5.0,0.25094633532,0.0655024535652
18,5.0,10.0,0.0885265065538,0.0531340154511
19,5.0,20.0,0.0920429893602,0.0384902527674
