,ph,mMacid,E[f(2.25)],E[f(3.00)],E[f(3.75)],E[f(4.50)],E[f(5.25)],E[f(6.00)],E[f(6.75)],E[f(7.50)],E[f(8.25)],E[f(9.00)],E[f(9.75)],E[f(10.50)],E[f(11.25)],E[f(12.00)],E[f(12.75)],E[f(13.50)],E[f(14.25)],E[f(15.00)],E[f(15.75)],E[f(16.50)],E[f(17.25)],E[f(18.00)],E[f(18.75)],E[f(19.50)],E[f(20.25)],E[f(21.00)],E[f(21.75)],E[f(22.50)],E[f(23.25)],E[f(24.00)],std[f(2.25)],std[f(3.00)],std[f(3.75)],std[f(4.50)],std[f(5.25)],std[f(6.00)],std[f(6.75)],std[f(7.50)],std[f(8.25)],std[f(9.00)],std[f(9.75)],std[f(10.50)],std[f(11.25)],std[f(12.00)],std[f(12.75)],std[f(13.50)],std[f(14.25)],std[f(15.00)],std[f(15.75)],std[f(16.50)],std[f(17.25)],std[f(18.00)],std[f(18.75)],std[f(19.50)],std[f(20.25)],std[f(21.00)],std[f(21.75)],std[f(22.50)],std[f(23.25)],std[f(24.00)]
0,7.0,0.0,-0.113163663243,0.384007398676,0.884522127814,1.36754849307,1.81518406958,2.21381471617,2.55500940665,2.83586235681,3.05876259664,3.2306404131,3.36179656842,3.4644645972,3.55128197727,3.63385074792,3.721555611,3.82077047833,3.93453299121,4.06269841034,4.20251427185,4.34949458458,4.49843323849,4.64437909398,4.7834181645,4.91314933101,5.03280534532,5.1430364485,5.24543248956,5.34189921887,5.43401682687,5.52250223624,0.0977910017821,0.0827541266239,0.0764043559979,0.0723411572822,0.0686744887044,0.0652515589654,0.0620150652979,0.0587776424241,0.0555752486278,0.0528548687389,0.0511928488736,0.0507676176123,0.0511566029894,0.0516900963249,0.0519424040467,0.0519468497683,0.0520766479661,0.052713370745,0.0539226602723,0.0554062882638,0.0567755832019,0.0578899571101,0.0589793085839,0.0604658367064,0.0626172828209,0.0653327555788,0.0683306783029,0.0718497761553,0.0779027801192,0.0915021488144
1,7.0,5.0,-0.28541187206,0.196266798396,0.681418348226,1.14922666623,1.58180515201,1.96555485916,2.29205970604,2.55842851579,2.76706425909,2.92491056294,3.0422809843,3.13142118072,3.20497997459,3.2745701487,3.34958615489,3.43641094101,3.53809042035,3.65448694465,3.78285460327,3.91871288452,4.05686019622,4.192349191,4.32126860287,4.44121923874,4.5514348862,4.65256578426,4.746201422,4.83424580376,4.91827695722,4.99900885555,0.0920861835385,0.0752932190324,0.0686931662883,0.0653943478604,0.0630062044273,0.0610396597447,0.0591809460654,0.0570866234444,0.0547434078446,0.0526066825037,0.051271497869,0.0509344233691,0.0511991232049,0.0514249086121,0.0512135646221,0.0506383406788,0.0501474172705,0.0502297742779,0.051045444493,0.0523229732334,0.0536315865313,0.0547540482883,0.0558400823942,0.0572490490935,0.0592255104738,0.0617119044974,0.0645620315244,0.0682780303891,0.0752593833568,0.090731941276
2,7.0,10.0,-0.20987667791,0.2693514694,0.752057140801,1.21742394087,1.64756493202,2.02888083183,2.352954896,2.61689494521,2.82310298682,2.97852168574,3.09346312521,3.18017163323,3.25129470574,3.31844328041,3.39101033423,3.47537734396,3.57458821617,3.68850405964,3.81437695555,3.9477251235,4.08334551884,4.21628918002,4.34264384619,4.46000909382,4.5676178163,4.66611969344,4.75710334683,4.84247266482,4.92380572143,5.0018163223,0.0946846403571,0.0780702080108,0.0708953762995,0.0667356993537,0.063576354709,0.0611383276461,0.0591724917918,0.0572728056268,0.0552939695902,0.0535404677337,0.0524773722894,0.0522390965977,0.0524564557719,0.0525631519974,0.0522243042772,0.0515372282067,0.0509356221783,0.0508743000185,0.0514860186731,0.0525033259722,0.0535303793187,0.0544079150893,0.055353914642,0.0567804847588,0.0589316610332,0.0616756954941,0.0647350049402,0.0684526156249,0.0750928601056,0.089913279045
3,7.0,20.0,-0.105044396711,0.363835274181,0.836006146234,1.29065436795,1.70989541927,2.08013345588,2.39295529835,2.64547328722,2.840094208,2.98376575735,3.08680593066,3.16146509297,3.22039733579,3.2752205013,3.33533501502,3.40712968798,3.49365650715,3.59478469572,3.70777492538,3.82815385035,3.95072721922,4.07055525817,4.18373459773,4.28787427592,4.38221628929,4.46741994978,4.54508315458,4.61711949559,4.68511631926,4.7497970785,0.0952035611011,0.0786046234726,0.0715397626872,0.0675082889493,0.0644337814643,0.0620049112043,0.0599717570791,0.057950108612,0.0558219145118,0.0539188507186,0.0527304846963,0.052406521074,0.0525744638408,0.0526485578769,0.0522707704836,0.0515275836309,0.0508639448819,0.0507701490814,0.0514247878755,0.0525926450205,0.053884702672,0.0551240861283,0.0564911071495,0.0583515018164,0.0609237883928,0.0641028117531,0.0676903946315,0.0721107146989,0.0795852177468,0.0950751373301
4,6.5,0.0,-0.298091727876,0.27036353062,0.860293271967,1.44523335734,1.99953575823,2.50064248902,2.9312464341,3.28104765704,3.54780881392,3.73746103942,3.86313087186,3.94312829057,3.9981503707,4.04814492101,4.1093975321,4.19240066197,4.30091261059,4.43234896405,4.57934047549,4.73202920119,4.88053755583,5.01705618213,5.13715174421,5.24012786648,5.32850910098,5.4069028111,5.48058264043,5.55413302086,5.63041301556,5.7099859698,0.109027429937,0.0880638251684,0.0788815462844,0.0740352234375,0.0705944371666,0.0683127167265,0.067378806013,0.0673351122604,0.0672633340431,0.0665945293522,0.0655969216191,0.0650359469489,0.0652497913698,0.065652515143,0.0653458736958,0.0641323247489,0.0628111999305,0.062408414326,0.0631016146578,0.064141433636,0.0647915272719,0.0650299039395,0.0653879363077,0.0663380059209,0.0679612039325,0.0701954550989,0.0733599287505,0.0787638098981,0.0895762683315,0.111262752156
5,6.5,5.0,-0.28745194096,0.251696366934,0.809126056511,1.35864146799,1.87497445392,2.33604982746,2.72513468996,3.03257800571,3.25684615385,3.40460652593,3.48973072572,3.53125770929,3.55057316006,3.56825057335,3.60111763874,3.66010796419,3.74930692457,3.86633373854,4.00389518219,4.15208176618,4.30084161628,4.44207751243,4.5709670283,4.68633901526,4.79017556385,4.88649243683,4.97994305833,5.07448090632,5.17234303494,5.27349585314,0.124455499373,0.0966360726887,0.0827220688416,0.0757011026451,0.0716982905934,0.0695303401084,0.0688789114615,0.0690965296207,0.0691976181402,0.0685589902337,0.067421577206,0.0666217550124,0.0666861231937,0.067225897456,0.0674157323581,0.0669670000933,0.0664362620886,0.0665390846674,0.0672659623071,0.0679073741334,0.0678930050891,0.0673757218285,0.0670253009054,0.0673878956269,0.0685426472669,0.0704513918003,0.073723545937,0.0804733923715,0.0949683501726,0.1229691629
6,6.5,10.0,-0.247159384291,0.256281158192,0.77999637464,1.29828493668,1.78627365541,2.22217050342,2.58940683567,2.87837461932,3.08746584768,3.22316386346,3.29905818564,3.33382511143,3.34842549652,3.36296643578,3.39379085577,3.45135093466,3.53927406298,3.6547653311,3.79017630465,3.93531518065,4.07992844753,4.21580314631,4.33808773491,4.44566451973,4.54064451728,4.62723768059,4.710343193,4.79419872336,4.88134725202,4.97206757387,0.122994820954,0.0954644351039,0.0820705075517,0.0752989287683,0.0711017285685,0.0684241763214,0.0672136005486,0.0670766930876,0.0671585951386,0.0668229765666,0.0661726182099,0.0658107808896,0.0660405684556,0.0664206457218,0.0662855487848,0.0656152495155,0.0651964658237,0.0657826454591,0.0671723098552,0.0684059124873,0.0687894129101,0.0685165895255,0.068394853791,0.0690795269118,0.0706154230897,0.0727683118791,0.0758787756556,0.081862637891,0.0950631912541,0.121674185844
7,6.5,20.0,-0.338615316569,0.153497777553,0.665987864042,1.17308710642,1.64985585184,2.07443978778,2.43021448481,2.70752718506,2.90473928355,3.02832223815,3.09187713279,3.11411709361,3.11606889532,3.11793529791,3.13618395148,3.1814176446,3.25743678888,3.36163427642,3.48655615007,3.62220165923,3.75849507578,3.88737683907,4.00411462598,4.10766771308,4.2001747527,4.28582074513,4.36942525941,4.45509441434,4.54519179408,4.6397762746,0.12299560279,0.0951833631161,0.0818744654486,0.0757174260173,0.0724218313558,0.0705892444768,0.0699058105999,0.069890426057,0.0697674559445,0.0690652491348,0.068080256244,0.0676028896056,0.0680307716807,0.0688330051474,0.069091280225,0.0684727141921,0.067538799415,0.0670919348645,0.0672904693663,0.0675968058144,0.067552843673,0.0673437288706,0.0675621180191,0.0685458485789,0.0700994072631,0.0719625062903,0.0746932269178,0.0806496567595,0.0946808483627,0.123084554602
8,6.0,0.0,-0.322572699297,0.196107231394,0.745362807742,1.30671819538,1.86127798512,2.39037124605,2.87635427165,3.30367999823,3.66023859857,3.9388166648,4.13836114783,4.26464548108,4.32997608245,4.35176618426,4.35009928904,4.3447123749,4.35203772495,4.38297097313,4.44185559855,4.52685429946,4.63151511585,4.74704726889,4.86469484808,4.97764141284,5.08207445543,5.17730302988,5.2650685903,5.34836285399,5.4301209629,5.51212017545,0.113641507763,0.0917750794432,0.080960141563,0.0747200173481,0.0707099650485,0.0682634929681,0.066731573023,0.0657094138998,0.0654111613539,0.0659742923421,0.0666364171674,0.0662521565971,0.0646288277233,0.0629587695277,0.0625773868642,0.0633428423487,0.0639557915603,0.0637359845429,0.063352114392,0.0637708110066,0.0648867526155,0.0657033528318,0.0657077126023,0.065624386064,0.066778282216,0.0697848023392,0.0742158057159,0.0800123605557,0.0896904969583,0.109453853148
9,6.0,5.0,-0.296806412286,0.195387950497,0.713674609698,1.23980355553,1.75526580027,2.24193266924,2.68284705922,3.06327397603,3.37201607518,3.6028425447,3.75571799098,3.8374314447,3.86126399412,3.84552545699,3.81108266974,3.77831282864,3.76412107215,3.77969094294,3.82946124787,3.91149582324,4.01905803167,4.14290224567,4.27366963393,4.4038203816,4.52872996855,4.6468399412,4.75900374652,4.86733623896,4.9739376915,5.07981870853,0.124481777504,0.0955924535616,0.0814286524198,0.0751829900993,0.0726525351829,0.0716036862867,0.0707353737815,0.069717127369,0.0691228120916,0.0694222201203,0.0700089749389,0.069724339794,0.0682969447116,0.0668535615246,0.0667075517429,0.0677397487704,0.0686495744239,0.068664227089,0.0683093663177,0.0685061714495,0.0692928993682,0.0698544261879,0.0696713233595,0.0692191411846,0.0695270101509,0.0712910464054,0.0748912287006,0.081819271795,0.0962679154527,0.124450276988
