,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)]
0,6.5,5.0,-0.029217604285079902,-0.04101619209570116,-0.051839344215498295,-0.06105109941029964,-0.06808609960076564,-0.07248861557014771,-0.07394273912580342,-0.07229520279047706,-0.06756409411305274,-0.059935524181534486,-0.04974826642553429,-0.03746614307751111,-0.023642431687562963,-0.008878273616985247,0.006220258261675628,0.021082821167720815,0.03520844634029861,0.0481958772647047,0.05975523547030661,0.06971374231621552,0.07801230326114364,0.08468610882970944,0.08984626538407528,0.09364971822143785,0.0962747063750393,0.09789444304691608,0.0986553398296658,0.09866390094150229,0.09797781610388656,0.096607850294342,0.10759463285940342,0.0921658173957154,0.07823917807363624,0.0661146035512836,0.055974579058097045,0.04789571365343684,0.04186703815736134,0.037794969056889526,0.03548287228881249,0.03460201131738025,0.03471371843742637,0.035337356736041034,0.03604654502558701,0.03653092210791575,0.03663167318122896,0.03634233306093585,0.035791476923993946,0.03519285983239988,0.03477875489015064,0.03473325224180486,0.03516851027594341,0.036178982999440105,0.037952533129516644,0.04086991697398397,0.045491177244713965,0.05239242273964716,0.0619409441483747,0.07418603365016191,0.08888292773492791,0.1055782887612481
1,6.5,10.0,-0.06801155537617719,-0.04928927555771637,-0.030665262642821985,-0.013136271959006436,0.0023850327363047737,0.015131758304767918,0.024534995883149564,0.030264440451491313,0.03225054492158782,0.03068809847636723,0.026020598707162102,0.018906203133033764,0.010169619066396924,0.0007376311267438961,-0.008426287853545726,-0.01639448706717095,-0.022341046177213376,-0.025597189866500773,-0.025701901985532564,-0.022423277947002634,-0.015778311074776515,-0.006018366734951517,0.006387634343934049,0.020794499184115463,0.03642721400336506,0.052435841452480085,0.06795520306585255,0.08215737517763079,0.09430344052543777,0.1037830741141332,0.107939533051049,0.09041687718504017,0.07468805451499004,0.061381551977973604,0.051022035306996845,0.04387151668449411,0.039701234552218655,0.037737855841336265,0.036981787339857054,0.03662359606215119,0.0362153289941682,0.035634398496761775,0.03496838667937295,0.034403332566439286,0.03412012070445604,0.03421246392673285,0.034647754641856224,0.035280948809510916,0.03592114646108746,0.03641350210607336,0.03673109303584717,0.03706586890417498,0.03791382500841969,0.04006245136937753,0.044389123749484595,0.051493007563904895,0.061477740100674395,0.0740459097528468,0.0886964703986522,0.10485820830816765
2,6.5,20.0,-0.5437179022879982,-0.4801302770779806,-0.4062285652007582,-0.32549667966563495,-0.24169279274594155,-0.15862753737477928,-0.07993668462428033,-0.00887047901760667,0.051897112886258395,0.10041343443531577,0.13554203425695577,0.1570001154549206,0.16533310140802726,0.161838837221873,0.14843618565178593,0.12749966048370884,0.10167056621617465,0.07365681084279305,0.04604613000115818,0.021134085137422837,0.0007897497070557193,-0.013639162602412077,-0.021374440287251023,-0.022212318575300444,-0.01648583031749377,-0.00498730283233432,0.011125383766669442,0.030449628895302856,0.051459076458733516,0.07261891211006355,0.11070050323679566,0.09453570159877256,0.07928230543819037,0.06547202336213662,0.05388438585851652,0.04542717621630891,0.04067486400346174,0.039182188022735286,0.03950632922073325,0.040115805554671445,0.04006192350229405,0.03907166724196447,0.03741048389993017,0.03570109826390364,0.03465907887839572,0.03473048802595916,0.03581673190281271,0.037363974712393014,0.038708350974973986,0.0393788150718999,0.039258174012273044,0.038668652330930746,0.03841249576291257,0.03968125195374915,0.04362990699906311,0.05080468273019092,0.06103170691597173,0.0737892769013936,0.08852013099076808,0.10472366838397526
3,6.0,5.0,-0.321208992844403,-0.2991094399273179,-0.2724192688105727,-0.24234685164115588,-0.21014768030209413,-0.1770482312192644,-0.14417642860704563,-0.11250312473198992,-0.08279663918500076,-0.05560104383867053,-0.031228574733314106,-0.00977194867832874,0.00886595271771234,0.02493282878929319,0.038778113187895716,0.05080405040127919,0.06141428588058454,0.07097546311086515,0.07978324301710057,0.0880425322066171,0.09585704914234716,0.10323288479692047,0.11009128106397495,0.11628469428573572,0.12162546343253672,0.12590539746157745,0.12892492120123014,0.13051093090308136,0.13053520552730732,0.1289249894128471,0.11908613916883408,0.10183497776028445,0.08558214439757907,0.07088991194885082,0.0583322112009964,0.04846317656288982,0.04168908788825098,0.03799835676771005,0.03676651402153564,0.03698054209426244,0.037699226230044666,0.038298770289480866,0.03846979795689533,0.038134789566519,0.03737774804303708,0.03639658646698741,0.03545097399699783,0.03480139994750357,0.03463054540215065,0.03499325859937956,0.035833387490205246,0.037089882156857,0.03884157936665528,0.04142613724216165,0.04544684241484731,0.05160217920430636,0.06040886857976432,0.07201723350043777,0.08621419590091423,0.10253708590579166
4,6.0,10.0,-0.45424738064659337,-0.4030613219092437,-0.3415409641359803,-0.2726330081548933,-0.1996837990193439,-0.1262408373263171,-0.05583309121238077,0.008249566059830729,0.06316582040043267,0.1067098267710848,0.13744687144031398,0.15479905042263079,0.15906845751438292,0.15139590443953604,0.1336603795636762,0.10832545031260446,0.07824588672833786,0.04644998575542337,0.015918848729891945,-0.010627701897577333,-0.03091414200486637,-0.043252465376482106,-0.046635221200076425,-0.04077390154075771,-0.02608195921551052,-0.003606880733918979,0.025079622982041656,0.05801966877429345,0.09303198423144682,0.12787252683601466,0.11184004726170639,0.09587665844509474,0.08092854825407535,0.06728903101005139,0.055452943459103086,0.04617022299737066,0.04025376880662137,0.03794044374549243,0.03831348828789092,0.039765097072246375,0.04092605995356647,0.04105526392218598,0.040010075228827637,0.038135401352294374,0.03612991184210783,0.034811659012925364,0.034728195355208026,0.03581565144502494,0.037464968052835654,0.03893324198438085,0.039721652001327795,0.03979509581507097,0.039706429775158245,0.040612732690829115,0.043957841679296804,0.05073202517728501,0.06098780158814074,0.07412876485769088,0.0894054511302835,0.10614284146915252
5,6.0,20.0,-0.5985454960445538,-0.6140169552462715,-0.6175196996840416,-0.6091446531874019,-0.5894750205757822,-0.5595592908106101,-0.5208630098238216,-0.4751855025179536,-0.42456330815511933,-0.37115742532922635,-0.31713298542887414,-0.264541407458248,-0.21521143916618665,-0.17065430660422437,-0.13199584775838924,-0.09992796968254368,-0.07469638922218227,-0.056111180974091825,-0.04358666793148392,-0.03620420260324632,-0.03279423578571981,-0.032026528278088336,-0.03250725811917519,-0.032877057794804966,-0.03189532506833818,-0.028514158102730915,-0.021936501977893732,-0.01164872308518947,0.0025611698939052544,0.02061090576111119,0.10814602502330954,0.09154514767345014,0.07681434917962805,0.06438522053810909,0.054511722469087975,0.047215933900400305,0.042259385326145586,0.03919187582848418,0.03748788890217305,0.03667628663033564,0.03639544499489946,0.036382927271672985,0.036448643227392684,0.03646716993239171,0.0363910820284613,0.03625916423696565,0.03618029437409811,0.03628500860177167,0.03665524927588467,0.0372768870281057,0.03805832590414471,0.03893120309208859,0.0400144231839238,0.04177631370861444,0.045077677689144495,0.05093951776455826,0.060079855184482577,0.07262353329968932,0.0881828479348013,0.10608747047434836
6,5.5,5.0,-0.8027904137976143,-0.7924283766932241,-0.7635003993606376,-0.716899381875675,-0.6542347036745665,-0.5777674973924689,-0.4903088360291668,-0.39508236720226136,-0.29557160742771565,-0.19534764710620128,-0.09789509544273219,-0.006445227211139402,0.07617069988874096,0.14764528474701222,0.20628372849347007,0.2510555540004006,0.2816077529188708,0.2982402769928714,0.30184664449432935,0.29382603384829736,0.27597506744975486,0.2503637101078414,0.21920798687450388,0.1847473635189296,0.14912596687087323,0.11429652089848902,0.0819398641005075,0.05341268103818742,0.029709790430891912,0.01146061762856023,0.11542810167943866,0.09892292151468475,0.08408783064776289,0.07106492051776524,0.05992227786911935,0.050741842197630845,0.04368540585918657,0.038960532975553,0.03660906201237053,0.036260406589352,0.03715173916171757,0.03842955344670145,0.03942751638236394,0.03976593899915095,0.03934841281933587,0.03832831446291369,0.03705352943698345,0.03596425763639731,0.03545334958709806,0.03571240449742359,0.036685921822932704,0.03819397341883084,0.040156418826007075,0.04278970329952841,0.04666901996582847,0.052577066655042616,0.06117349339700248,0.0727117176560044,0.08699632691954721,0.10351456712814014
7,5.5,10.0,-0.5412061864223799,-0.5514138182044456,-0.549925132573613,-0.536803085531043,-0.5126032233638959,-0.47836459004619786,-0.43557165307000006,-0.3860897384860682,-0.33207879055373973,-0.27588491136415333,-0.21991973907312537,-0.1665354800253142,-0.11789673716077244,-0.0758679973198723,-0.04191205515169087,-0.017015656346272574,-0.0016405777274928087,0.004292323284473107,0.001385328402508023,-0.009277994305381405,-0.026210128959650678,-0.04761391637004974,-0.07149465990889932,-0.09577888780790329,-0.11843787499154963,-0.13759740834477707,-0.1516424130955924,-0.15929425288331017,-0.1596696738459439,-0.1523117831572122,0.10321404304208244,0.08747444186918947,0.07351848642447166,0.06175853338460413,0.052450180376121674,0.04562324429659618,0.0410320346005548,0.03820639280046726,0.036611025993682995,0.03580380049882277,0.035496020165809106,0.035516585094235664,0.0357455957018794,0.036072297942153705,0.03638846619285042,0.03660938599169151,0.03669899760436893,0.0366808930424043,0.036635961437151025,0.036681916466463946,0.0369645928463974,0.037666990209449684,0.03906118672343754,0.04156552083112043,0.04573865440850789,0.05216537703534753,0.061262610888542346,0.07315420462339418,0.08766040071588947,0.10436568796279272
8,5.5,20.0,-0.679847821619747,-0.7066189395341353,-0.7194467413821368,-0.7178882382362245,-0.7020722844822942,-0.6727028478368965,-0.6310355957303561,-0.5788262431808426,-0.5182455059927014,-0.45177040713414834,-0.38206143848677476,-0.31182454848842045,-0.24367475099095134,-0.18000612260934892,-0.1228714683887845,-0.07389032342857137,-0.034178036248855195,-0.004307587094256684,0.015696969040713615,0.02633838735953038,0.02858971995047369,0.023821774522379033,0.013702629242250885,9.262982440377372e-05,-0.015071274030499794,-0.02988874771149771,-0.04259589081702945,-0.0516625157178873,-0.0558587033472759,-0.05430900280494504,0.10743396937652316,0.09024894617537049,0.0754153223653715,0.06334609548848681,0.05413730794363201,0.04752066719977327,0.04294843094925667,0.03981730791338104,0.03768379928214855,0.03632756538281718,0.03566830739941788,0.035626390754284774,0.036037032835959264,0.03666146304096054,0.037259228076506244,0.03765968172169676,0.03780468273206,0.03773790899941872,0.03757833526535849,0.03747300832732247,0.03757689327675375,0.038074506690055035,0.03925522507138971,0.041590678360583236,0.04572949804331836,0.052325236494859526,0.06179997362768056,0.07420925382140015,0.08928339814192068,0.10652620792082212
9,5.0,5.0,-0.6129677513790969,-0.6178273389776799,-0.6129293103560325,-0.599141313623148,-0.5776705041221042,-0.5499895358050532,-0.5177393796049683,-0.4826257970737778,-0.446316520569153,-0.41034293032309255,-0.3760162304780662,-0.3443592615731265,-0.31607106808525304,-0.29150273586938147,-0.27066791304915383,-0.25327092636465515,-0.238757351123858,-0.2263708209471212,-0.21522560416085662,-0.20437714356246942,-0.19289055530968194,-0.17990170017836415,-0.16466902524734614,-0.14661302473546364,-0.1253402701362441,-0.10065563689593739,-0.07256504124795231,-0.04126282062152637,-0.007114123582739229,0.029367753592607373,0.11453237374830744,0.098962014807123,0.08459625868617084,0.071644837590996,0.060328512721295906,0.050920527143457975,0.04373941049260603,0.03903215713602213,0.03673506220802385,0.0363237138450791,0.03698372951602347,0.037947919898092486,0.03868907416005444,0.03895008241183638,0.03869246707535454,0.03803825985165328,0.03720425386360508,0.03643527315742843,0.03593703940613279,0.03583539919495278,0.03618945559510902,0.03707049573278466,0.038671932838071854,0.04138920542356227,0.045779367600483824,0.05238926194152448,0.061545025276417704,0.07325759941450707,0.08726578748788459,0.10312527321212102
