,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)]
0,6.5,5.0,-0.361150952358796,-0.3884346219640481,-0.42454289392359806,-0.4684625015751705,-0.5187161033097684,-0.5734302696340674,-0.6304312864443934,-0.6873623084410989,-0.7418133112833901,-0.7914533499353053,-0.8341560112975949,-0.8681083229983578,-0.8918946930357148,-0.9045504046630016,-0.905582331959737,-0.8949566121876582,-0.8730565853768971,-0.8406167907621572,-0.7986405532735252,-0.7483103678165777,-0.690897144471637,-0.6276802994111907,-0.5598809474380214,-0.48861498163119654,-0.41486656663716465,-0.33948247634151335,-0.2631840748879144,-0.18659322734586448,-0.11026599468933362,-0.03472997671253396,0.2669690238673572,0.2154517620710722,0.18007306471015885,0.1595597549354351,0.15062534210168316,0.14878225126816252,0.15001979387604122,0.1516955480636876,0.1524505096772737,0.15182449547272991,0.14993298480245207,0.14724661974620842,0.1444141863695561,0.1420870918562236,0.140744786289063,0.1405677283012218,0.14141262370116658,0.14290126231490363,0.14457207774453612,0.14601821041746565,0.14696951187424195,0.14732047474313809,0.14715240502970137,0.14682112064317643,0.14719011796813442,0.15003204435227285,0.15840898186121488,0.17647531411241696,0.2082885044803275,0.2564662944652123
1,6.5,10.0,-0.15411061882576707,-0.1996398210838453,-0.23061512886487373,-0.24750460139929484,-0.2515193248773705,-0.24452508613736126,-0.2289086050171693,-0.20740786292759955,-0.18291721893226792,-0.15828265325650884,-0.13610103281413966,-0.11853877879378943,-0.10718360794286352,-0.1029392955078267,-0.10597121852477936,-0.11570681145020005,-0.13088871091068344,-0.1496769880562725,-0.1697909404408216,-0.18868018490260907,-0.203710940822366,-0.21235429468740258,-0.21236314300198345,-0.20192456507993728,-0.1797798318827523,-0.1453037796218634,-0.09854041417027865,-0.040194749804543184,0.02841605016224201,0.10544728791192687,0.25286686587412177,0.20445057812700515,0.17417034106008383,0.1586022618851204,0.15238926754011145,0.1505229689765754,0.14985978933745137,0.14905719643897986,0.14788250674984785,0.1465800436307218,0.14545403081894032,0.14465808574321778,0.14415161668701854,0.14376963573323795,0.1433403855522854,0.142788263597686,0.142184663306225,0.14173082921345329,0.14167804834615716,0.14220704558337266,0.14331749558806145,0.1447914532268269,0.14628317602598429,0.14757054582805063,0.1489758655693953,0.1519409831315604,0.1595528017466979,0.17639135499864653,0.2070716010995354,0.2544172960904976
2,6.5,20.0,0.19505290491262797,-0.20290504720886687,-0.547307223949565,-0.8314854370231519,-1.0515900297556795,-1.206719539689925,-1.2988744725515893,-1.3327400521542516,-1.3153107810969027,-1.2553846835518545,-1.1629630913328248,-1.0485988119418557,-0.922739519260033,-0.7951099445273506,-0.6741775135414874,-0.566731508140642,-0.477602988054441,-0.40953467006221367,-0.3632035204466368,-0.33738272037516676,-0.3292224248833774,-0.33462027694552005,-0.3486478690414422,-0.36599714749431383,-0.3814131961527128,-0.3900838372015133,-0.38795978878595094,-0.3719921429287345,-0.34027577619387384,-0.2920996009062575,0.2550774217371569,0.20392042957782233,0.17195074268732974,0.1569301716074396,0.15296916487574372,0.15355317665797186,0.15442667429374446,0.15394682524186895,0.15222411535912855,0.15018050197096047,0.14876920409846242,0.14843376232179062,0.14893268600293755,0.14955479300022056,0.1495428925120238,0.14847328733160095,0.14645273007982657,0.14409459073166794,0.14228655013852717,0.1418032756479279,0.14292137807319905,0.14526528953046663,0.14801540594713847,0.15039784825907104,0.15229968154053444,0.15493003373858777,0.16138005372950937,0.17650145844193682,0.2053631806279025,0.2511346675427593
3,6.0,5.0,-0.39498402801925314,-0.6359588762267038,-0.857928705477327,-1.05779676160026,-1.2334272138928644,-1.383650983219198,-1.5082160455209888,-1.6076867459709987,-1.683304289690424,-1.7368199392348318,-1.770317193154396,-1.7860354756004224,-1.7862106419516512,-1.7729421946974857,-1.748094424963762,-1.7132373225560114,-1.6696251264410533,-1.618210044737753,-1.559685784571121,-1.4945508099240388,-1.423183691695537,-1.3459208047955804,-1.2631280937049132,-1.1752606794752525,-1.0829056968411477,-0.9868053624124169,-0.8878616052838112,-0.7871216601530592,-0.6857493479525921,-0.5849852512177391,0.27726438567896494,0.21819959542582923,0.1791460662219051,0.15897658297421097,0.15265050477569647,0.15326791950669227,0.15546889515862605,0.15647185128728053,0.15541910410768378,0.1525594900577274,0.14868380389198782,0.14475115494523846,0.14161132782137337,0.13979611639438735,0.13941505956571273,0.1401913820243776,0.14161893168953163,0.14316128608442336,0.1444094869119633,0.14516300589734,0.1454316403696433,0.14539005577819317,0.1453317827256344,0.1456963268101501,0.1472464318821561,0.15142014989476119,0.16071415830650493,0.1786730799103409,0.2090853778316772,0.25481348676099713
4,6.0,10.0,0.08564061080335215,-0.24768884220675766,-0.5371220882227239,-0.7757523607680575,-0.9591263628246063,-1.0854784450797206,-1.1558029724591412,-1.1737543188631876,-1.1453776046135247,-1.078686223140334,-0.9831134399977358,-0.8688768044049074,-0.7463003077103562,-0.6251432341233477,-0.5139850028835272,-0.4197091606508348,-0.3471229425333423,-0.2987365637104278,-0.27471525071900954,-0.2729995318781445,-0.289581256033107,-0.31890707350237446,-0.354373510603802,-0.38887388451911464,-0.4153526631451464,-0.42732710241652416,-0.41933904098990493,-0.3873088823512405,-0.3287732428482107,-0.24299570368151793,0.2655754536888932,0.2128675440470767,0.178774913572512,0.16164941348404663,0.15631754912883786,0.1563331103121695,0.15691689440840434,0.15578640383615253,0.1526260996403856,0.14833768340657164,0.14433941753302304,0.1418788495280364,0.14146392426381776,0.14267820441572532,0.1444932749949155,0.14583254103383783,0.146041982688374,0.14510472321365997,0.14359262708152928,0.14239273796955926,0.14228001752969135,0.14352159253112676,0.1457686664300296,0.14837743467938355,0.15107397933677374,0.15477781878368016,0.16232861126249956,0.17848979233311932,0.2084364153624565,0.2555243558669336
5,6.0,20.0,0.3239851279661285,-0.14717327679354983,-0.6257008949123615,-1.102316408039076,-1.5679993589936412,-2.0143649069201226,-2.434007563787386,-2.8207937446236393,-3.170085105960698,-3.478879175370429,-3.7458600579433714,-3.9713546637312462,-4.157201542567557,-4.30654099853888,-4.423539353565926,-4.513070535600321,-4.580372150410186,-4.630701636006914,-4.669012114688774,-4.699668775236293,-4.726220440140598,-4.751240246552441,-4.776238172205928,-4.801650809033877,-4.826900583274209,-4.850518454988233,-4.870316446966031,-4.883596445083313,-4.887377634261263,-4.878628063781135,0.26215292960090475,0.21277773750867576,0.18013535502841171,0.16178880268893817,0.1536060409627494,0.15115462044144015,0.15109034400491717,0.15148610978534935,0.1514770339979168,0.15082667389513185,0.1496274039420398,0.148123603986813,0.14659987959483478,0.14529969427977704,0.14436556495921862,0.14381623825381332,0.1435733395428002,0.14352796643454696,0.14361775405641036,0.14387235413347627,0.1443977303284705,0.14530742508523747,0.1466531006896702,0.14845265744001354,0.15092056389796132,0.15495584366818463,0.16278995006949812,0.1783419300024599,0.20650491073068242,0.2513830762513376
6,5.5,5.0,-0.04885014037522992,-0.668904501273131,-1.273678570208108,-1.8490700050033857,-2.381947847470092,-2.8606875323383467,-3.275638752655181,-3.619501775505609,-3.8875901437390485,-4.077965071233705,-4.191435723585972,-4.231427390412244,-4.203725726332856,-4.116117158418878,-3.9779448810549627,-3.7996117599831845,-3.592056940393202,-3.3662373165891695,-3.132642114327527,-2.9008643490312527,-2.6792498653588868,-2.4746363464295924,-2.2921901148142063,-2.1353413847129206,-2.005813508535968,-1.9037345309521767,-1.8278177417007495,-1.7755954924934252,-1.7436863560039544,-1.728078160429338,0.2810966304500984,0.22465644349147976,0.1857613855977946,0.16356016255488345,0.15468580788618316,0.153858702063901,0.15610964948687736,0.1581552804259486,0.15839618939748357,0.15645683709907696,0.15277670060993287,0.14829263268616555,0.1441352797134348,0.1412908186227666,0.14028472253961863,0.14102634187726637,0.14291593814242956,0.14514353652809117,0.14700108045435897,0.14807632983111743,0.14830460102418297,0.1479106326170545,0.14731072193985933,0.14706413744604357,0.14798369725645413,0.1514697963425915,0.159953250367969,0.17700381981787808,0.20658684373464514,0.251786495818591
7,5.5,10.0,0.2568838959406734,-0.1677359226642145,-0.5957430669240931,-1.018058203409764,-1.4258417978292341,-1.810873369978027,-2.165913962976615,-2.4850277822970575,-2.763846867871333,-2.99975833808418,-3.192003713460206,-3.341681035004979,-3.4516487881358606,-3.5263356820392544,-3.5714666372779775,-3.593720352474332,-3.6003393382159516,-3.598714765493372,-3.595970877863554,-3.598574415251972,-3.611989782169902,-3.640400316863414,-3.6865112417842605,-3.751441623239679,-3.8347111238165175,-3.9343179212595167,-4.046900225327433,-4.167968857558891,-4.29219386798676,-4.413726594959173,0.254244172522943,0.20799829127372294,0.177357572174717,0.15984948117118783,0.15158982086972622,0.14856596523860985,0.1477987442033061,0.14757775010096535,0.14712714793163773,0.14620916581830204,0.1448601519728162,0.14325317284360864,0.1416347445843243,0.1402839630837705,0.13946371779243333,0.1393615407723562,0.14003500576200306,0.14139017923269173,0.14320311439777625,0.14517694615228224,0.14701146572583013,0.14847129944782328,0.14946225658875353,0.15015191368351596,0.15119845401351148,0.1541206292772735,0.16169644258441845,0.1779438573476812,0.20716607034396484,0.25252487794007117
8,5.5,20.0,0.44239150728812887,-0.09635038171010864,-0.6504882699638191,-1.209004546697283,-1.760754228267366,-2.2949126951538923,-2.801416965172492,-3.271376416272889,-3.6974293117364754,-4.0740251498052285,-4.39761514383727,-4.666741749836425,-4.8820209385811895,-5.046019158303322,-5.163034802395341,-5.238796223737664,-5.280095727978651,-5.294382355309938,-5.289336147661168,-5.272449256586872,-5.25063762012422,-5.229902228190005,-5.215058571223155,-5.2095455127046835,-5.2153209556032945,-5.232846194818314,-5.261154698140007,-5.2979973301640335,-5.34005193692111,-5.383180811429214,0.25961362164209584,0.21105982081019328,0.1788877394217928,0.16035829889047534,0.15157353732925005,0.14863102861571775,0.14858380991707232,0.14958181019289937,0.15055969236086625,0.15093210292338302,0.15043308410000802,0.14905889480013657,0.1470373285577228,0.14477117969406234,0.1427393198181592,0.14136933044085837,0.14091840847271056,0.14141294990013892,0.14266778604292826,0.1443654160415342,0.1461517855603597,0.1477186288129981,0.1488819918238637,0.1497087177924567,0.15076605260240766,0.15354725134670946,0.1609492349606758,0.17728709827885053,0.2072026079899944,0.25400434842873704
9,5.0,5.0,-0.03493733172996516,-0.5130480246837562,-0.9911017837115933,-1.461839686143647,-1.9188123732615308,-2.356616051977146,-2.7710614078422924,-3.1592641628013163,-3.519655458466963,-3.851913312931207,-4.156822921264586,-4.43607930738364,-4.692047211414107,-4.9274985381455,-5.1453461554121205,-5.348391076222255,-5.5391006242822,-5.719429069806095,-5.89068883734354,-6.053477956105261,-6.207660653487782,-6.352400030625313,-6.486233676272371,-6.607185311723472,-6.712899991198686,-6.800794433406377,-6.868211403956659,-6.912570981356659,-6.931509310670022,-6.923001589611138,0.2823112791994347,0.2250474095431848,0.18508002520000044,0.1621279961223679,0.15308992475057204,0.15252683812620366,0.15519671165314386,0.15769305114069943,0.1584322272210207,0.15708618527502458,0.15408277794806888,0.1502454746189108,0.14650833398410534,0.1436657966304148,0.14217928998630333,0.1420954223030005,0.14310966199136707,0.14473152595485808,0.1464630478879649,0.1479180953310984,0.14886723075067,0.14923683878663735,0.14911852903185624,0.14885754355962955,0.14928718821362744,0.15211959832247893,0.16030046883384588,0.17781604011299426,0.20856864449012127,0.2550855239543783
