,ph,mMacid,mean,std
0,7.0,0.0,0.583280565226,0.0280339208051
1,7.0,5.0,0.735316671408,0.0342799267888
2,7.0,10.0,0.805519749525,0.0315098923613
3,7.0,20.0,0.738754148948,0.0302364208218
4,6.5,0.0,0.629870979317,0.031955684716
5,6.5,5.0,0.761202632022,0.0412500706712
6,6.5,10.0,0.873309031347,0.0355640081672
7,6.5,20.0,0.783209919524,0.0311103291705
8,6.0,0.0,0.656661435477,0.0301872896933
9,6.0,5.0,0.784117852578,0.0392457983305
10,6.0,10.0,0.931699248434,0.03512063895
11,6.0,20.0,0.706270545461,0.0264309632331
12,5.5,0.0,0.636767614427,0.0294606644855
13,5.5,5.0,0.845061940951,0.0364400746974
14,5.5,10.0,0.25726136532,0.0226887072854
15,5.5,20.0,0.137059630812,0.0345358310089
16,5.0,0.0,0.506156456808,0.0290298820665
17,5.0,5.0,0.149963251402,0.0363801385542
18,5.0,10.0,0.156433952419,0.0355421708254
19,5.0,20.0,0.128673374772,0.0357170866344
