,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],E[f(23.75)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)],std[f(23.75)]
0,7.0,0.0,-0.494237037647,0.13568083343,0.752474905063,1.33125918401,1.85376901424,2.31011187467,2.6988357322,3.025362022,3.29929064809,3.53138253689,3.73106401616,3.90504524239,4.05722400346,4.18960958012,4.30370505407,4.40173751832,4.48729580363,4.56523716334,4.64101574616,4.71976623302,4.80549160944,4.90058752424,5.00576303921,5.12026001827,5.24219824454,5.36888023923,5.49696626132,5.62252636282,5.74105633708,5.84757041886,5.93685633935,0.180429364468,0.143520357962,0.138526617084,0.152673401698,0.166598626543,0.167956199856,0.155340750228,0.135374996096,0.117196399589,0.105794342043,0.0996613530022,0.095894797832,0.0941308387831,0.0947739959067,0.0968815157163,0.0991260034492,0.10122258427,0.103558411742,0.10612974589,0.108389850175,0.10985378648,0.110453117277,0.110402311577,0.110001457797,0.10964510624,0.109922212829,0.111557950107,0.115158813631,0.121335627206,0.132222665096,0.154196769171
1,7.0,5.0,-0.0481150621135,0.572718217177,1.17128950928,1.72021184834,2.20044821304,2.60325809569,2.93001617064,3.19001416681,3.39693072204,3.56500206398,3.70594482596,3.82734303741,3.93267878232,4.0226549827,4.09711062409,4.15676286457,4.20420859173,4.24397411615,4.28177133603,4.32336709301,4.37350964472,4.43523289715,4.50965181133,4.59616551093,4.69286692862,4.79694517031,4.90494761405,5.01287933581,5.11621754624,5.20996399277,5.28884784673,0.184497391587,0.161464481134,0.145813246213,0.13402625386,0.125373005575,0.116608674861,0.107983663202,0.104300668839,0.107210596375,0.111393974011,0.11135246187,0.106690772315,0.101043967733,0.0978358393784,0.0971784335994,0.0971445792033,0.0965592671004,0.0955319576881,0.0946049739629,0.0942683672345,0.0948203870552,0.0962071832633,0.0981234724737,0.10039045504,0.10321312161,0.1071207267,0.112615376122,0.119847904944,0.129175585999,0.143406982013,0.170526447654
2,7.0,10.0,0.099132118099,0.774791644016,1.4286656826,2.0306438259,2.55904629072,3.00311318377,3.36320501823,3.6487129452,3.874341073,4.05587372832,4.20662581957,4.33545538032,4.44663051151,4.54121224187,4.61916952415,4.68134123417,4.73057128857,4.77175874617,4.81099960106,4.85430390684,4.90642716861,4.97018625218,5.04634985329,5.13395277768,5.230778693,5.33378073198,5.43932256225,5.54325148974,5.64091925517,5.72728275151,5.79716443053,0.203899277154,0.156140403264,0.131071114442,0.128253138256,0.135828377974,0.138618386145,0.132519375656,0.123152331317,0.117332429153,0.115221842779,0.112351301822,0.106923791745,0.101414438293,0.0986029687169,0.0981392928554,0.0979395513315,0.097168847274,0.0965533650856,0.0968595383913,0.0980541482068,0.0997254598094,0.101631189129,0.103764259193,0.106227725224,0.109235132487,0.113189920121,0.118580970491,0.125730126393,0.13505845917,0.148781011874,0.173576764218
3,7.0,20.0,-0.191340534558,0.426996690865,1.02743047957,1.58164071991,2.0687502702,2.47780199164,2.80821489242,3.06810127477,3.27094352372,3.43160595138,3.56283577186,3.67318241665,3.76673041633,3.84439558362,3.90602992731,3.95242331363,3.98647122013,4.0132163339,4.03893721147,4.06978725325,4.11054882156,4.16390058899,4.23031830558,4.30846913,4.39583440691,4.4892897511,4.58546422852,4.68083194436,4.77161622927,4.8536608739,4.92243371402,0.1740096866,0.150066221259,0.135313123966,0.127522370972,0.124977580922,0.12086749052,0.112446502343,0.104397591237,0.102144979371,0.103845702319,0.10375260886,0.100120302838,0.0961046166987,0.0949751028321,0.0961158449267,0.0969260006457,0.0965330696744,0.0960892776357,0.0967131791398,0.0982617917935,0.100008014748,0.101607773836,0.103185372247,0.104997181595,0.107325277119,0.110619536611,0.11546761867,0.122197443137,0.130980100413,0.143958522701,0.168862249564
4,6.5,0.0,-0.649170356974,-0.00535613446449,0.624970359717,1.21696959044,1.75257048098,2.22220022892,2.62481494477,2.9662819862,3.2566285563,3.50696881832,3.72696086475,3.92339246787,4.10006939352,4.25874243967,4.40050905621,4.52707534649,4.64143210699,4.74780082136,4.85099971165,4.95555702373,5.06492249623,5.18100764027,5.30411663734,5.43317270298,5.56606617887,5.69996200697,5.83147525005,5.95672241526,6.07133463925,6.17054590859,6.24944100084,0.209720907475,0.158240515479,0.133848321471,0.134370128614,0.143330044542,0.144723955392,0.134965275254,0.120287226978,0.109567737083,0.106016084914,0.105998347343,0.106041101682,0.105991506396,0.106569499774,0.107326242778,0.10742343476,0.106902074746,0.106437985969,0.106366560307,0.106453812891,0.106440184628,0.106403569302,0.106625689746,0.107387164702,0.109008551574,0.112005149507,0.117056411004,0.124759412225,0.135767359429,0.152170279145,0.179767351593
5,6.5,5.0,-0.401164686755,0.215876036265,0.811090945363,1.35726463296,1.83567265976,2.23800549869,2.56614865678,2.82993232047,3.04354394686,3.22164270046,3.3762337128,3.51502224794,3.64142841795,3.75591269486,3.85791043376,3.94760623099,4.02697384383,4.0998655131,4.17130657194,4.24639505945,4.3292526194,4.42234584394,4.52629256215,4.64007332389,4.76144483827,4.88734677602,5.01416470027,5.13783120882,5.25383772909,5.35728459796,5.44307738446,0.200182468403,0.166570098053,0.145576419337,0.133008427988,0.126289211671,0.119993867654,0.112807480934,0.108769243393,0.110136014079,0.113110609927,0.113152188708,0.110090570892,0.107202294031,0.106986790682,0.108706210235,0.11023557455,0.110571021593,0.109989050108,0.109113438716,0.108457187877,0.108352810133,0.108867464567,0.109873032294,0.111340874017,0.113584758153,0.11728038494,0.123203648826,0.131920454631,0.144269382827,0.163383589874,0.196912104767
6,6.5,10.0,-0.0438035214172,0.593497898928,1.20539815533,1.76200608229,2.24204294715,2.63530950275,2.9428475135,3.17479755069,3.34662191715,3.47481378493,3.57329724221,3.65140282006,3.71371509325,3.7614546361,3.7946076992,3.81391528716,3.82204232877,3.82366223582,3.82463189008,3.83073431386,3.84652960874,3.87468329965,3.91586331108,3.96905921794,4.03206458343,4.10189900386,4.17504829847,4.24753586231,4.31494049349,4.37249302185,4.41532983205,0.229107344869,0.175869726299,0.1435481558,0.133604961442,0.137014150388,0.138302402167,0.131915917673,0.12267770507,0.117306341939,0.116258716959,0.115311490145,0.112599057327,0.110029891483,0.109518448665,0.110340334346,0.110706259412,0.110110179618,0.109302784261,0.108921357135,0.108877389094,0.108831992415,0.108714413395,0.108775218124,0.109437576332,0.111240070987,0.114883971037,0.12117428284,0.130859445795,0.144962019218,0.166268665107,0.201176624622
7,6.5,20.0,0.0488553685616,0.684382288611,1.29796977957,1.86123757035,2.35343175657,2.76388217248,3.09242223613,3.34765548644,3.54357610985,3.69552436012,3.81663913901,3.91574230534,3.99705417542,4.0614894867,4.10877859463,4.13949734283,4.15626914313,4.16384118568,4.16820719733,4.17527101585,4.18962043139,4.21380581195,4.2482473246,4.29163188629,4.34153569642,4.39500351222,4.44890534762,4.50002512474,4.54495994599,4.57998517261,4.60105002933,0.198902622593,0.165131883996,0.142812856776,0.130147048158,0.125684333131,0.122013636734,0.115327695996,0.109338378616,0.108650320846,0.111427956983,0.112590285128,0.110702382595,0.108480773422,0.108403741999,0.109647557516,0.110019303257,0.108968548058,0.107672393255,0.107212572417,0.107573561172,0.108283433191,0.109218723251,0.110553650436,0.11238263115,0.11473619415,0.117969981292,0.122967341631,0.130820673648,0.14280242825,0.162086305291,0.196319831199
8,6.0,0.0,-0.801434274009,-0.0675408974625,0.646637211658,1.31311868586,1.91110625258,2.42889338998,2.86403196467,3.2217956636,3.51244546509,3.74810726788,3.94011775542,4.09745059067,4.22641453691,4.33137963104,4.41598988352,4.48426487386,4.54115893766,4.59244013944,4.64403765023,4.70118178657,4.76767474811,4.84551008383,4.93489153422,5.03454166364,5.14212051999,5.25458390722,5.36838908769,5.47955642075,5.58367640815,5.67597930563,5.75155845932,0.208226135455,0.156776444274,0.133939684268,0.136106811479,0.145735311875,0.147055471655,0.136816191244,0.12141018254,0.109899860289,0.105811256783,0.105713553311,0.106124580583,0.106775269475,0.108158700053,0.109537979828,0.109844867385,0.109022311611,0.107828761566,0.106846205694,0.106113276514,0.105530175072,0.105216327406,0.105465580961,0.106599954354,0.108968861011,0.113003633024,0.119158087716,0.127776089092,0.139375201621,0.156042059883,0.18361307948
9,6.0,5.0,-0.189708220672,0.518953882242,1.19979068717,1.82247595364,2.36558699245,2.81870486203,3.18233027355,3.46571403699,3.68328589341,3.85071875235,3.98169202915,4.08608524522,4.16980296565,4.23589943549,4.2863241217,4.32353598961,4.35142693603,4.37534536893,4.40137182246,4.43524678115,4.48138172575,4.54226039338,4.61833448896,4.70831784475,4.80967232891,4.91906568653,5.03266650508,5.14625539158,5.25523278317,5.35465005768,5.43938260207,0.202625705562,0.168508338361,0.147724736476,0.135151272578,0.128187482282,0.122003507766,0.115601601409,0.112608501346,0.114450893014,0.117034836577,0.116134700797,0.112053061128,0.108536371489,0.108340721646,0.110539018084,0.112557123754,0.113020018511,0.112070166954,0.110433514173,0.10884662569,0.107828042373,0.107512676657,0.107764586922,0.108549475906,0.11020745788,0.113454632185,0.119134781769,0.127958972638,0.140988225194,0.161487759795,0.196791349168
