,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)]
0,6.5,5.0,-0.01996518235265111,0.07736442143244447,0.17413007830629976,0.26575877194083813,0.3476749656941969,0.41560467033255677,0.4658770363039408,0.48842959430673744,0.4517277411518275,0.39536154720786876,0.32255347812765767,0.23742765496874554,0.14472216059463228,0.04945883176059004,-0.15567478571851323,-0.2655149259208583,-0.31094917247748566,-0.34577650511167296,-0.34097215600256486,-0.31838371105264024,-0.2758565584231015,-0.23866381794933522,-0.20024908710254682,-0.1516501457731314,0.3146773205417287,0.2650148156755233,0.23748726340101609,0.22685663822112978,0.2255980869196771,0.22735942902784378,0.2284301374069931,0.2192935598884966,0.21408824968478118,0.20953027098594518,0.20651111193868596,0.20556152795266405,0.20677173673362573,0.20983319805063805,0.22086948095254264,0.22880496840624676,0.2325753894879561,0.23572501250039618,0.23476135372755616,0.23287689919487664,0.2341796939130155,0.24434215809669774,0.2693292950215787,0.3336390637039448
1,6.5,10.0,0.19158553001562106,0.28898124188687524,0.38053113809843275,0.4622566573011564,0.530478552541835,0.5820563792445287,0.6146012139269856,0.588562621067955,0.5407525532065468,0.476946748252538,0.4005491919131892,0.31553248361796893,0.22619425011031935,0.13689871253229483,-0.0486303530148641,-0.1436753392596609,-0.18104294056825543,-0.20638094454182637,-0.18712487983039058,-0.15808195857019874,-0.1054599608749661,-0.059001682569373076,-0.009541151624382762,0.05668240736438956,0.3256786367894082,0.2740176264511009,0.2437924281128931,0.23048245289116304,0.22732532000540728,0.22821579990290844,0.22924160629663137,0.22100217308392173,0.2154044883358591,0.20996603853683962,0.20574829762284494,0.2035354921173624,0.20363768211574387,0.2058448896584193,0.2155983458134493,0.22283673593283393,0.22631281160650907,0.22944295113282043,0.23019497175317388,0.2298189900792871,0.23362249361865406,0.24569156193811173,0.27227556170029554,0.3381351617576623
2,6.5,20.0,0.3777006793344249,0.33113396347462387,0.29991090848262214,0.28377340972189175,0.2812105807087619,0.2895497766528754,0.3051477751401507,0.35080545412041975,0.35054967688681093,0.33622416810416433,0.3054547667410604,0.2571497843354671,0.19160656374737214,0.11050818058733211,-0.12064035079058408,-0.29606719737164655,-0.3938306671676731,-0.5049457048116657,-0.6198289168243892,-0.631372111305198,-0.6096158718789995,-0.5665822319674576,-0.502926508504079,-0.39129852810916305,0.3340707372181093,0.28496823277003375,0.25644951406250793,0.2433306214938164,0.23872504983127896,0.23695171630645828,0.23477158752492602,0.22047352429323333,0.21536742880834764,0.21145204627766467,0.2091459997629736,0.2085372097058747,0.20947649236000965,0.2116967699180902,0.22030118179091113,0.22803882133950248,0.23269886118243033,0.23804093316200112,0.24201031351705982,0.2419048962205398,0.2446039017190839,0.25487487145042254,0.2793467620383127,0.3430597356573343
3,6.0,5.0,-0.03716249621330409,-0.03781261862655368,-0.03436605254671821,-0.028626080605828597,-0.022803580351136492,-0.019357364219317972,-0.02080221830735609,-0.07613917274937425,-0.11631492066910708,-0.1679768341951038,-0.23029776317066172,-0.3016645130676546,-0.3797684723656759,-0.4617510082876772,-0.6497381961968004,-0.7628485348476476,-0.8157962555515924,-0.8646321879170171,-0.8834459980375802,-0.8655163573418087,-0.819715771528562,-0.7711944402851935,-0.712906539678861,-0.6241487774808032,0.3250451258237356,0.27299072193571,0.24236546272521883,0.22898349441249788,0.22602016880823164,0.22714243329059708,0.22830762294619508,0.2205931666925857,0.21555417171006666,0.210851042934852,0.2073714015495268,0.20568411920194418,0.20594286635059758,0.20792023061780104,0.21651349948265783,0.2234889798433354,0.22721565328773682,0.23093647613239285,0.23227745384655432,0.23183288662721566,0.23569624305900477,0.24835825365214817,0.27615843784779753,0.34408725202648
4,6.0,10.0,0.2014333270541643,-0.04560919058036011,-0.26413155344733075,-0.4482626320126741,-0.5942288481211461,-0.7005374704430042,-0.7679908612254113,-0.7753318696229308,-0.7327797763541104,-0.6795990188082679,-0.6228721838969647,-0.5689342868817476,-0.5229680418071594,-0.48871775024774966,-0.46349768569660255,-0.4888213407984418,-0.5158478127104562,-0.5580026069529029,-0.6221527248769491,-0.6366957518738499,-0.6377428027275603,-0.6229824710788183,-0.5944691804441371,-0.536141941157401,0.3295251038382751,0.2767190634060339,0.24574058612157235,0.23238510886804398,0.2293774904314184,0.22992213132985787,0.22984149100264006,0.2181020586405266,0.2133903096940309,0.21016861177699703,0.20886015430957772,0.20928252659279553,0.2108897146994741,0.2130861351361939,0.21864428726296758,0.22289851700103563,0.22568912377132025,0.22932248599966934,0.2329228944430266,0.23346754718884966,0.23725659946401995,0.2480731093257357,0.27246894063125393,0.33486099993667584
5,6.0,20.0,0.8103925053881449,0.6028276801696303,0.3898323255037383,0.17845449221383236,-0.024352566676327615,-0.21211592378297936,-0.3792057957452423,-0.7188759064081061,-0.7732372510658971,-0.7996210918706435,-0.8011029274620736,-0.7819437719002276,-0.7472899472363322,-0.702825988553452,-0.5934011289967742,-0.5390293266013026,-0.5246332813721836,-0.531150924976922,-0.6143526244043739,-0.6741130676937105,-0.7692361321064909,-0.8472222196024154,-0.9263347861522624,-1.0265147346082837,0.3334255422167147,0.28452777553638936,0.2549970709394608,0.2407260580895062,0.23566160667799835,0.23428556031432968,0.2330399784439697,0.22056132890422667,0.21508642023001875,0.21050655937895565,0.20752154906139894,0.20642179724797438,0.20708724094410802,0.209114793965093,0.2165266133281684,0.22254452934342217,0.22622262015805716,0.2309728398140582,0.23748463947869508,0.23997124709224613,0.2468671279156543,0.2599761909511614,0.28613587411559654,0.34982885738161335
6,5.5,5.0,-0.05920458571024578,-0.44740825285613195,-0.7925711053120488,-1.0839050646841126,-1.3136505214282026,-1.4775338143296342,-1.5749757929336294,-1.5152341025817369,-1.4076514497394355,-1.2756309629661469,-1.1317281655422382,-0.9878787530398617,-0.8546281530433251,-0.7405187418621678,-0.5782135897295269,-0.5590882421419476,-0.5816793395775086,-0.641467968249009,-0.7865010064667252,-0.8481303690739235,-0.9166720532878198,-0.9526706364289672,-0.9725073817774549,-0.9717711706906733,0.34219951815502286,0.27997430995446065,0.24401849617562038,0.23162279568947125,0.23352904451746626,0.23962324868280577,0.24342066757607417,0.22832401156351703,0.21970057637804227,0.21315272370805546,0.20995271562153206,0.21002251650521248,0.21226721108573957,0.2153022283112784,0.22078980986036803,0.2233952021380711,0.22530117854754259,0.22841419334558302,0.23240971062068178,0.23286841139029368,0.23552221981901963,0.2446369259748112,0.2670716295333344,0.3278734980954472
7,5.5,10.0,0.566634325340309,-0.07200845059179234,-0.7443219602001353,-1.4290849431153163,-2.103516246497494,-2.7444866131198014,-3.329818973624443,-4.57081911361938,-4.773263755955534,-4.863150133144809,-4.844510968656144,-4.726497864522398,-4.522669991445067,-4.250006106302659,-3.4556403886987197,-2.8619282789163325,-2.533754623403545,-2.1554446208149534,-1.7020069779993885,-1.5928244294639406,-1.5183145214493745,-1.506672333382806,-1.523379291143642,-1.5735844040375457,0.3342717637979641,0.28221374983977593,0.25183059608525643,0.23690518229837715,0.23114815177046305,0.23012059199877088,0.23120636528632588,0.23178054761411687,0.2278041147122274,0.2218172869096927,0.21530783744575074,0.2103919036360753,0.20896752575335678,0.21173804186808173,0.22758651042346803,0.23641851782901022,0.23852483965747867,0.23847232595188295,0.23686636203216035,0.2377143557719482,0.24353774737110384,0.2560823006866103,0.28209485762014147,0.3477117899208572
8,5.5,20.0,0.7325566949777575,0.18356710607645646,-0.4122048994649512,-1.042600059227432,-1.6939532956842744,-2.3516223038962054,-3.000572690578242,-4.751476122148166,-5.228075563800999,-5.635029587406284,-5.9662271536959155,-6.218208679850927,-6.390201235875178,-6.484035803644095,-6.426785538113005,-6.1921299305608875,-5.995261439803571,-5.689230091772846,-5.101364314040428,-4.85202483225161,-4.538504722355709,-4.3233473051991025,-4.12814325499647,-3.8998732477168665,0.34880818810409125,0.2942806761524143,0.25988325551916924,0.24185771572092277,0.23439113221789756,0.23187841857703456,0.2304642150098552,0.22013718872803062,0.21555821109688858,0.21181352632173892,0.20959094208705745,0.2091870567128747,0.21051029530632268,0.2132262527532211,0.22291973857282363,0.2311960646666927,0.23604199560084405,0.24138830421048238,0.2450557972193136,0.24533286798116913,0.24986841695409284,0.2625033602789523,0.28936638110630836,0.354305290407852
9,5.0,5.0,0.3977052523402868,0.026440298702271433,-0.3727762165170525,-0.7918308091445466,-1.2216422939117513,-1.6524709084968037,-2.0742643309437794,-3.187960769420182,-3.479694315558784,-3.720132602823441,-3.904661098291371,-4.030462597119958,-4.09660012191723,-4.104017783611351,-3.911423454246558,-3.62451062118834,-3.408482245837945,-3.0860174087821157,-2.480680461555063,-2.2243669452634918,-1.9002384419619873,-1.6762044200929425,-1.4720462061432207,-1.2338041023020343,0.3304061080056857,0.2777326318073803,0.24575825373213542,0.23096678251230107,0.22722720474701316,0.22837105226592547,0.2300491967772962,0.2225694325249828,0.21649226891693255,0.21040798072892464,0.2055968675505388,0.2030352690361953,0.2031508884323379,0.20576696085036877,0.21780123257351272,0.22741354889247387,0.23238607277130455,0.23728945536291507,0.23939853655376664,0.23855863510657138,0.240707777493442,0.2510683745526069,0.276123868259873,0.34112351748598524
