,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(14.25)],E[f(15.50)],E[f(16.25)],E[f(17.25)],E[f(19.00)],E[f(19.75)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.25)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(14.25)],std[f(15.50)],std[f(16.25)],std[f(17.25)],std[f(19.00)],std[f(19.75)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.25)]
0,7.0,0.0,0.154601869647,0.41029072403,0.707695003996,1.0359617349,1.38274507339,1.73502520888,2.0800022891,2.96443765494,3.18547071104,3.36524701099,3.5057888638,3.61185647868,3.69039832457,3.74985012695,3.86540148155,3.97382994523,4.06270041306,4.21474514861,4.56742345252,4.74247431751,4.98322492361,5.15956539484,5.32365554493,5.51064656528,0.155927822565,0.132942897881,0.121765137805,0.116800194881,0.114320301703,0.112680395014,0.111298372061,0.105017350613,0.101522991345,0.0978831734818,0.0949689290589,0.0935881552069,0.0940703941688,0.0961082132802,0.102811769566,0.106360133399,0.107859673263,0.109688600546,0.113973594993,0.116400973793,0.120522570979,0.125558497989,0.13510197143,0.162530629501
1,7.0,5.0,-0.0214302176395,0.231199928548,0.525535913552,0.850725610079,1.19442395131,1.54361213296,1.88549113531,2.76060453738,2.97852411062,3.15518536198,3.29261149017,3.39556368006,3.47099133118,3.52733109933,3.63563463459,3.73890318677,3.82468668973,3.97262799146,4.31816619173,4.49017555622,4.72689050194,4.90022027106,5.06131461406,5.24433599806,0.147172782512,0.122128165607,0.110094812514,0.105351930511,0.103727825367,0.103259000509,0.103195954863,0.100955575958,0.098720631366,0.096264105785,0.0944011441499,0.0938469283672,0.0948398498442,0.0970319660164,0.102882912717,0.105057649295,0.105504489153,0.10569982708,0.106504048973,0.107158044432,0.108662940722,0.111763492114,0.119927802106,0.147485454024
2,7.0,10.0,-0.192039259199,0.0596460330514,0.353047113528,0.677312870675,1.02009888428,1.36838709171,1.70937924466,2.58191823412,2.79901048889,2.97486095893,3.1114934881,3.21366954119,3.28833932052,3.34393972846,3.45059276536,3.55274782016,3.63788993336,3.78500762921,4.12919120189,4.30065378777,4.53667088325,4.70950039123,4.87011410601,5.05252460812,0.14705813213,0.12195161173,0.110106580165,0.105739980063,0.104564342421,0.104521040777,0.104798311101,0.10290208792,0.100587011482,0.0979693039019,0.09586599097,0.0949992080462,0.0956240717009,0.0974145119183,0.102271279588,0.103718289966,0.103748528409,0.103468414388,0.103858176556,0.104539071897,0.106276699064,0.109710944059,0.118356328563,0.146691548614
3,7.0,20.0,-0.419227318383,-0.169500863807,0.12193798967,0.444238145289,0.785055253135,1.13137127716,1.47038819693,2.33698374401,2.55208982457,2.72595183702,2.8605940994,2.96077862174,3.0334556178,3.08706277894,3.18906496074,3.28790153095,3.37105525854,3.51552605688,3.85509446171,4.02458742576,4.25798798556,4.42886314282,4.58753017807,4.76735845847,0.157450333873,0.132524413316,0.119837091976,0.113965506192,0.111078240874,0.109365364489,0.108121644352,0.10293616462,0.0999616922036,0.0968928926831,0.094548107275,0.093642936188,0.0944017320712,0.0964451970682,0.102086606136,0.104167250941,0.104625212684,0.105015478253,0.107036166173,0.108672277019,0.111955570345,0.116648725869,0.12633757727,0.155060380464
4,6.5,0.0,-0.0595700747957,0.153299788459,0.413739187287,0.711928824341,1.0362704278,1.37428486188,1.71361631187,2.63785469277,2.89317307648,3.11880513435,3.31710559505,3.49268631312,3.65168009317,3.80091229129,4.14707949312,4.41795574898,4.59415342768,4.84257304779,5.28892876576,5.47064198309,5.68893493656,5.82680424992,5.93655378217,6.03185545882,0.200923037278,0.165095296851,0.144938838383,0.136340252836,0.134799111169,0.136617225609,0.139158884789,0.137894649165,0.134447927857,0.131289189378,0.129658584131,0.130025154304,0.131938104736,0.13447299803,0.139268808724,0.141578482678,0.142752436622,0.143494131903,0.140063746038,0.137570782584,0.137744087559,0.145248238061,0.163899042022,0.211879345235
5,6.5,5.0,-0.256088294222,0.0535920776058,0.410253736313,0.799385892248,1.20469612441,1.60932079323,1.99713828383,2.93519572093,3.14974111033,3.3144211674,3.43489805973,3.52001634886,3.58077148327,3.62914262047,3.75757585164,3.91058600646,4.03707696185,4.24565706891,4.68980239182,4.89165195195,5.14954605501,5.3225678737,5.46873868198,5.60993775161,0.23756748207,0.179172426099,0.151466495506,0.145581404006,0.14886008724,0.153056189736,0.154998630112,0.146208925734,0.14142045111,0.137892695565,0.13667173939,0.137999781975,0.14124453451,0.145311510273,0.15310521502,0.155998726362,0.157156998585,0.158289368144,0.156622393737,0.153469819541,0.150154595569,0.156159238585,0.180925453079,0.256921278971
6,6.5,10.0,-0.209626648863,0.0991767020665,0.449551601188,0.827598240632,1.2179445225,1.60489067102,1.97363121798,2.85925520688,3.06157521742,3.21781076104,3.3338109069,3.41826502121,3.48171740635,3.53547269167,3.68237151629,3.84944937638,3.98357606953,4.2010695036,4.6586890019,4.86661467582,5.13416917763,5.3161980379,5.47322223517,5.6318949182,0.244215141912,0.183702485204,0.153317317627,0.145294522748,0.147831090524,0.152564805912,0.155851221908,0.150987903947,0.14621660839,0.14187150232,0.139264478264,0.139070530354,0.141028117972,0.144176854147,0.150671863893,0.152770623315,0.153556392871,0.154537907958,0.154034722909,0.151978216408,0.150368207689,0.157103398627,0.181213413251,0.254232010857
7,6.5,20.0,-0.245843272138,-0.086717585864,0.135718630995,0.411383119633,0.727128791767,1.06773590425,1.4171121895,2.37035977251,2.61948872949,2.82450719679,2.98533580236,3.10546802773,3.19134352374,3.25151660433,3.34695476321,3.4282348814,3.49840141626,3.62523274638,3.94059771548,4.10490864181,4.3381754721,4.51473598446,4.68437908865,4.88705870504,0.24520697978,0.182673345297,0.152016995047,0.145407634135,0.149381105809,0.154408948683,0.156670095908,0.146107970603,0.140823747803,0.137268602475,0.136441049349,0.138302444581,0.141862963204,0.14577573328,0.151442161959,0.152799521021,0.153801787212,0.155849700447,0.157149714585,0.15488863161,0.151786775384,0.156995709369,0.18025512234,0.25411151552
8,6.0,0.0,-0.0500188414444,0.174595890341,0.454724434093,0.780804807999,1.14076403173,1.52083444118,1.90656851766,2.96624045363,3.25433916232,3.50154172487,3.70811478621,3.87747866251,4.01553375767,4.129790429,4.34921965168,4.50438124187,4.60728577225,4.75934003148,5.05777340326,5.18965363867,5.35777713862,5.47123509657,5.56810135864,5.66337541101,0.20366173374,0.167012931604,0.146077596182,0.136603632912,0.133869736412,0.134345822236,0.135923572852,0.136604652636,0.134285891629,0.131657091693,0.129967820623,0.130098257193,0.131999395892,0.134787891729,0.139584197491,0.140524178583,0.140669155747,0.140506495786,0.139035665943,0.139077374331,0.142985736164,0.151991753013,0.169996185258,0.214581102876
9,6.0,5.0,-0.264183102763,-0.0432941651757,0.237302580649,0.566195664711,0.92904431744,1.309558911,1.69071235506,2.68428147043,2.92804264601,3.11912023657,3.25863050968,3.35165004462,3.40644902582,3.43347196373,3.45276104563,3.48670100734,3.53218929182,3.63002991307,3.90201846396,4.04925467614,4.26033817228,4.42057282227,4.57425207904,4.75663020591,0.249032013417,0.186440086772,0.154073810682,0.145329732825,0.148136574305,0.15328882547,0.156741787396,0.150984883232,0.145393209579,0.139981055612,0.136401642177,0.135806805369,0.138191992922,0.142460297837,0.152529546828,0.15714755254,0.15920557809,0.161158619794,0.159362310382,0.15573546367,0.151905474256,0.157957635211,0.18335706612,0.261031491537
