,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)]
0,6.5,5.0,-0.034947539700474345,-0.04684033138693364,-0.05830676672908343,-0.06910559074006539,-0.07900431181021045,-0.08777834148221518,-0.09521978652357735,-0.10275170694038788,-0.10641002852390687,-0.10823329341908952,-0.10814468631200069,-0.10610765056071464,-0.102129274961712,-0.09625777725606746,-0.08564586007959445,-0.0721565305987275,-0.0562245029547232,-0.0383791293024598,-0.02409788959794159,-0.00437058340561337,0.01057840875549959,0.02535344625824834,0.03968688007690306,0.05767847485780404,0.07389986258543248,0.08462666957732728,0.09671510578318342,0.10602642323344433,0.08889473880592891,0.07979984643932428,0.07107693977515922,0.06290021120791557,0.0554467873549201,0.048888134127654706,0.04337631093596882,0.03782355995234362,0.03501011850676148,0.03322239034716978,0.03223781679867224,0.031793553211948856,0.031649096832046364,0.03162240960182221,0.03158957103046862,0.03150426824054001,0.031475825572998016,0.031769134539453396,0.03242930132807668,0.03425119791570118,0.03654659489061773,0.03977695213363065,0.04399828273572378,0.051152038162969767,0.05991648053675774,0.06741263122955182,0.07842094783261237,0.09031033517868792
1,6.5,10.0,-0.14860804308929407,-0.1509631569174895,-0.15205740229634787,-0.1518615602030488,-0.15035894943739847,-0.14754839472943615,-0.14344259864511727,-0.13600042923606986,-0.12900008234730648,-0.12084845524051818,-0.11162020676578836,-0.10140017142089766,-0.0902897887874668,-0.07839809465297948,-0.06153916636738768,-0.04382257443539307,-0.025584439843065892,-0.007178122710211772,0.006519733010242691,0.024352414822291585,0.037210378534922754,0.04946565452062587,0.060984310787196364,0.07498245915125466,0.08718920184681497,0.0950373025461293,0.10362286934196532,0.10995611820332377,0.08987654176565665,0.0806601629329306,0.07180957765437104,0.06349815756983344,0.055905445778887564,0.049207817556176404,0.04356914981677719,0.03790140032043036,0.03507261272333454,0.03334742605224179,0.03249688938674249,0.032235189820998475,0.032286913780092415,0.032433884724324714,0.03254423318454189,0.032457160091797166,0.03227383312153971,0.032310778451678485,0.03277983810378949,0.03446392856204568,0.03680940452390294,0.0402355777373584,0.04477226359129,0.0524429139643403,0.06171120509246899,0.06950827329906091,0.08074910604429471,0.0926338440726936
2,6.5,20.0,-0.32121134484141245,-0.30412565070913194,-0.2842680112665309,-0.26210152149751265,-0.23813743216006625,-0.21292124674729748,-0.18702039483387062,-0.1524078979459025,-0.12711577868659404,-0.10298261006625772,-0.0804933978192404,-0.06007635379196158,-0.0420907692307623,-0.02682367268911568,-0.011035700318042617,-0.0006768234906756261,0.004279024390369115,0.004120815250229716,0.000953019603127096,-0.006774046832951988,-0.014736977041018612,-0.024117277398916365,-0.03449435513745504,-0.049135499984864175,-0.06377365325754761,-0.07417867735460199,-0.08659647163697039,-0.09668123742258525,0.09498504167672293,0.0856691656448754,0.07649066666652285,0.0676227457228072,0.05927930603372739,0.05171718670366311,0.0452272385239691,0.03873982681710537,0.03573769214019142,0.03427540237770356,0.034021600462074225,0.03449392521974177,0.03522334041652116,0.035852373734466446,0.0361810449202981,0.03580640519642339,0.03493705280388585,0.03410461198254722,0.033975275103904336,0.035154484435908684,0.037410332938261,0.040961090361379106,0.04574539632093933,0.0537816987915963,0.06333593638585461,0.0712756977838418,0.08264255489553926,0.09464749123858043
3,6.0,5.0,-0.07662102080498195,-0.0795649059066811,-0.08152782405707519,-0.08245749515129445,-0.08232156026456469,-0.08110708723378172,-0.07882265021453018,-0.07416945747492903,-0.06954524255409897,-0.06403523284052834,-0.05773631067417709,-0.050762624851183394,-0.043240819265801624,-0.03531020137907969,-0.024350263746341357,-0.013274838037780798,-0.002434490958929284,0.00783944598463131,0.014990305084106212,0.023576253139817545,0.029184252952015953,0.03400078063113623,0.037974556747931494,0.04191177174490909,0.04428126752911037,0.045053416563052784,0.04481350051135625,0.043246131978061424,0.09008384488438571,0.08099748552135959,0.07230558490929996,0.06415305260061288,0.05668607869856132,0.05005160569112042,0.044386901603067005,0.0385343489739634,0.03547886746654614,0.033506848514988245,0.032451564728578235,0.03207589946073343,0.03212582804141472,0.032379678795004536,0.03276017202534235,0.033004374778764715,0.03310134633768684,0.033241070378515966,0.03360498575405285,0.03487994715581257,0.036763954351182154,0.039686210005239364,0.04377137567400776,0.05104328317523775,0.06021356805291103,0.06813344938471198,0.0797623036600794,0.09222911092187068
4,6.0,10.0,-0.45365840850890415,-0.4329982746476144,-0.40803030728705275,-0.37925645663765983,-0.3472507433700268,-0.3126481669918665,-0.2761286449757378,-0.22567680889307426,-0.18744721151451432,-0.14966506233862428,-0.1130015821813775,-0.07808244146150027,-0.04546993851946833,-0.01565396960393781,0.019065965801417707,0.047404597174403325,0.06896851788853894,0.08367051824817569,0.090309674090847,0.0936677994160728,0.0924210743558256,0.08832521305038472,0.08177251364403744,0.06995325427330866,0.055585413668007136,0.04377940505910084,0.027492697938964344,0.011455243169806445,0.09817523880472435,0.0892111349287189,0.08019209380382696,0.07124798075919968,0.06256344851553101,0.05438688451670143,0.04703821341784833,0.039185686412238824,0.03523494023914022,0.03313989850115748,0.03269406073558672,0.03336600754269016,0.03453020601709122,0.03566668644351171,0.03657584697118734,0.03651108122916867,0.0356016714576424,0.03440857528062794,0.03389222283536584,0.03462441532163177,0.036751769401133824,0.040401598799667184,0.04546621693466632,0.05400025105089581,0.06400252794252476,0.07215387748936421,0.08357311194453351,0.09534633431500109
5,6.0,20.0,-0.3623400973569868,-0.3709723614243796,-0.3769921080225226,-0.3804039892962567,-0.38125368611166843,-0.37962912647814867,-0.375655322677809,-0.36697895475766884,-0.35818405786239027,-0.34766571088462894,-0.3356503509778187,-0.32237432485605694,-0.30807291019184624,-0.29297631792093426,-0.2719867241985578,-0.2504408652431228,-0.22873836187019037,-0.20719731542796055,-0.19128853630791776,-0.1705298784356607,-0.15534306108071977,-0.14049209980960523,-0.1259627712055965,-0.10703178232172457,-0.08850739318657565,-0.07480390417372784,-0.05668325373326741,-0.03862671463353291,0.08991945416054634,0.08087832136164136,0.07227727761636364,0.06423583861866816,0.056872733122081874,0.050311325378452204,0.04467603996829589,0.038803167511211656,0.03572286500242877,0.03376204122807636,0.032785925857094556,0.03256355091502662,0.03281815620386589,0.03328618623615488,0.03389007577584988,0.03420874257116829,0.034192082887350705,0.034052926582941824,0.034155715916406995,0.03512420376837639,0.03687982054006245,0.03978385559174471,0.04393152403924576,0.05130953066675571,0.06047389474641192,0.06825436953162245,0.0794834469441655,0.09131844869647515
6,5.5,5.0,-0.5159644524992936,-0.5115797344902531,-0.5020407291462687,-0.4874703540490333,-0.46807688945764553,-0.44414995908263866,-0.4160554166791071,-0.3728690610996226,-0.3368330152634274,-0.29828257927063745,-0.25780538420331667,-0.2160077545625452,-0.17350381176949384,-0.13090520552313423,-0.07498001943236594,-0.021258923185246973,0.02906687841467063,0.07497717239066302,0.10600623443296082,0.1423265711551608,0.165531738708588,0.18515324128004798,0.2011515222229962,0.21689893760750723,0.2264839666388233,0.2298579548605553,0.22968228860579903,0.22473055684529422,0.0913788698173655,0.0821125773821204,0.07336222349109102,0.06523403237102783,0.05783183027481987,0.05125666424064304,0.045604435760968176,0.03964005716700858,0.03639936416729616,0.034187078131837786,0.03289367652285106,0.032337170311823066,0.03230193768403821,0.032573594121167324,0.03310961299831454,0.033589996336486856,0.03390816196773713,0.034160029673128554,0.034489130334226535,0.03553193677316283,0.037121058469847056,0.03969417610692419,0.04343477594782584,0.05033865383792091,0.05929934637457687,0.06717202369300887,0.07887147609587265,0.09154209177845135
7,5.5,10.0,-0.5122754145340511,-0.5326363669523936,-0.5491045581951706,-0.5614560867059203,-0.5695274424331099,-0.5732196960214626,-0.5725013456335482,-0.5647481557542028,-0.5539793131502673,-0.5391597078502968,-0.5205273570400217,-0.49836928603854297,-0.4730171597211514,-0.44483762758386697,-0.40354970944987406,-0.3589169178974875,-0.3119410568473408,-0.26360805945397947,-0.2270359069782225,-0.1785457913749878,-0.1428186276210989,-0.10797242747488824,-0.07426581988870212,-0.031472451593233544,0.00849377189043094,0.03643082024695846,0.07080785491102133,0.10181030604150071,0.09066290948087233,0.08120950626460052,0.07232290534322976,0.06415247453096858,0.056828723016117105,0.050457489017447524,0.04511176037637249,0.03962866775373211,0.03670784349708686,0.034698733422254636,0.033448963571644875,0.032776982080302,0.032502820169686086,0.03246845431330095,0.03259487083460513,0.03277549732934026,0.0330027105789133,0.03344238477361565,0.03411713113523336,0.035859641169957254,0.03807880841150223,0.04127463604344484,0.04553893802664023,0.052881552019746,0.06194332179709816,0.06968389397935237,0.08097211216931494,0.09301633312075384
8,5.5,20.0,-0.4135666102149773,-0.4275886351330597,-0.43861880138796083,-0.4465694618504788,-0.45140056980252047,-0.4531176241542958,-0.45177316377508236,-0.4453882150478114,-0.43733907506139236,-0.4266924285842669,-0.41366007307949376,-0.3984739204937059,-0.3813835439799825,-0.3626481856459302,-0.3355618548776542,-0.30663264515415267,-0.2764444994892108,-0.24553182726048117,-0.22215845257154881,-0.19107056256301547,-0.16799884179875496,-0.14526704323888784,-0.1229695138215339,-0.09403344522528834,-0.0661115064197765,-0.0458779744186412,-0.019873089004027757,0.005005692999903978,0.08958068446693834,0.0805933467151776,0.07207387193114531,0.06414994371039144,0.05694730912782016,0.05058403107288242,0.045171461094312304,0.03957804600394613,0.03664437648446884,0.03473570333676002,0.03370788624140992,0.033345596189998314,0.03340773463503783,0.03366906251893852,0.034025551037358624,0.034170688153265544,0.03407254740608934,0.03395163571952213,0.034130310453166265,0.03527087533405516,0.037195713794373836,0.040289397917263256,0.04463835088285005,0.052296512955995675,0.06175775451944604,0.0697731994143835,0.08132436543502994,0.0934766393367765
9,5.0,5.0,-0.35783645376938406,-0.38813183781547916,-0.4170921367873221,-0.44433918692790125,-0.4694983231753985,-0.4922026095390015,-0.5121012415091725,-0.5337028133803245,-0.5458219417890234,-0.5541548515185144,-0.5584881089750597,-0.5586538978770287,-0.5545362531685737,-0.5460727137987401,-0.528027942887427,-0.5024055554908509,-0.46954178205029456,-0.4299526980413993,-0.396253415035042,-0.3466332884374889,-0.3064128886644598,-0.2640954036667065,-0.22014073741894216,-0.15981475310672993,-0.09858703156433886,-0.05276988336290452,0.007279186406724126,0.06516405358538115,0.09377943866634568,0.0838480518687714,0.07426818820461255,0.06524233953251037,0.056985024607623586,0.04972085466954908,0.043673898014370854,0.037815497034055165,0.03515512908538863,0.03383185825165587,0.033523372014729005,0.03382721678750504,0.03436610540626028,0.03485107760435404,0.03510711613402077,0.03477322065567862,0.033968355561743255,0.033124971760960575,0.0329148407278087,0.03396468985943739,0.03622094727734042,0.039948035804647744,0.04511672433245634,0.05394235152935497,0.06446679272077128,0.07314361548416909,0.08536031928360552,0.09791947862127412
