,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)]
0,6.5,5.0,0.006879574295720494,0.13741198360643234,0.23519946398324162,0.29848334588691927,0.328687699773069,0.3302082708070674,0.3098476178801549,0.2759572400925899,0.23739193065891082,0.202411495452336,0.1776778606130298,0.1674893664000928,0.17335812367936046,0.19399017340897448,0.22566892828932142,0.2629797107556499,0.29976253029598904,0.33014754687396264,0.34951571419360655,0.3552407240663918,0.34710851517928837,0.3273603065505894,0.3003660144349476,0.27199038343229476,0.24875868263612758,0.23694954797564075,0.24174916764348137,0.266579908035101,0.3548040813039881,0.19539919787911408,0.1523649462684026,0.13229635237146617,0.12475453496151392,0.12105986532551193,0.11762641454181591,0.11438556645155529,0.11241696246072617,0.11231649693409196,0.11359405491409584,0.11505243989074974,0.11557534343167411,0.11470417703868853,0.11280196310894637,0.11083309093280203,0.10984229972743759,0.11035209298369143,0.11207092753617334,0.11414694347785977,0.11573932825950708,0.11648187318055025,0.11661181614142328,0.11676084838594936,0.117580767321825,0.11956651418875612,0.12352489733413907,0.13182595926803423,0.14961208005045645,0.2189146981694193
1,6.5,10.0,-0.0002714401502177758,0.004897847972384798,0.017859569742659162,0.037010903360935696,0.06016504867988968,0.08484288760486962,0.10862259934619523,0.1295001692621456,0.14620319418707234,0.1584034546784384,0.1667876646302413,0.17296531548438734,0.17922054893629125,0.1881423213596194,0.20218665647901207,0.22324195887390302,0.25226701273848223,0.28906452546020944,0.3322264794316304,0.37926323870354306,0.4268972453210291,0.4714740712262896,0.5094270773981955,0.5377248630901806,0.5542358312398101,0.5579611421995472,0.5491090197994621,0.5290102341564606,0.476864731558567,0.19999217362677724,0.1527474516263701,0.12949809402178283,0.12092141426370456,0.11789501352062838,0.11583354722406307,0.11381369266877896,0.11235947035790528,0.11196540850740071,0.11251345003826972,0.11337417193513462,0.11383435576968956,0.11348580644778254,0.1123999562532453,0.11105616303438971,0.110068544415996,0.10983345022909057,0.110308707798911,0.11108778480513713,0.11170960733597408,0.11197516371313257,0.11206731224850391,0.11241863617760889,0.11346052508630092,0.11558133530101855,0.11969085728613191,0.1284820471844073,0.14747764683346662,0.22037827830834647
2,6.5,20.0,-0.02013521228237709,-0.38772263095311205,-0.7626228384194108,-1.119611849428965,-1.4343930904559885,-1.6861287280639732,-1.859670939719604,-1.947186481218365,-1.9489318354099046,-1.8730629342153753,-1.7344860338009498,-1.5529045462579742,-1.350330482057318,-1.1484092086599589,-0.9659284851700999,-0.8168432581439696,-0.7090693134581713,-0.6441617610229255,-0.6178684389296302,-0.6214105531816106,-0.6432478156529269,-0.6710315310494166,-0.6934471356203291,-0.70169138067422,-0.690414276645451,-0.658052886130985,-0.6065843948498868,-0.5408107916578863,-0.41768723742007247,0.20020589074261091,0.15648538073746518,0.138334901965271,0.13000109570561147,0.1239059107631867,0.11971401106124649,0.11841055280737968,0.11899533682563618,0.11921031613155032,0.11775585478005936,0.11527526614941709,0.11358738810075482,0.11391165925625929,0.1156496846368705,0.11697315109656099,0.11646282010856647,0.11422529812002334,0.11184586918226508,0.11124356078556802,0.11313183595744011,0.11648179695476234,0.11952736232387659,0.12113184132391071,0.1214090424839716,0.12158674622594148,0.1237693272962406,0.1314119819686316,0.1503156566700673,0.22630558463633202
3,6.0,5.0,0.16701935207928797,-0.06359623722232917,-0.2643315446950839,-0.4247237037489047,-0.5378052287104599,-0.6007932692769512,-0.6153188949401148,-0.5871459927467021,-0.525409562907983,-0.4414719149862712,-0.3475464216061182,-0.25528030659156575,-0.17448536489839417,-0.11218172643883925,-0.07206873264304416,-0.05446485931558794,-0.056691413879597814,-0.07380493665818251,-0.099544756576465,-0.1273357616719277,-0.1512014480965562,-0.16646718755663942,-0.17018265983058975,-0.16124617085050938,-0.14025731232841637,-0.10916665723426346,-0.07080689993696622,-0.02839497725480436,0.04291737616592208,0.20124503200703636,0.15546012424454583,0.1329186480935486,0.1240874264693803,0.12073787773396975,0.11869589757482336,0.11672764973854502,0.11490649736209886,0.11365774622619114,0.11322215381672436,0.11337127126916012,0.11346149858914162,0.11282604170637407,0.11125959250882353,0.10927553943781095,0.10791401689689512,0.10810671444840421,0.10997968855733933,0.11271339185674124,0.11509739445794688,0.11628361860534954,0.11622576259903424,0.1156554029868737,0.1156856517315815,0.11737094995749017,0.12179943967793613,0.13112832521290121,0.14992467857896727,0.22016717262526406
4,6.0,10.0,0.1995324638790983,-0.049391279286894026,-0.3485797323624337,-0.6746779584198013,-1.0006086919915638,-1.298303013717669,-1.5417162434631073,-1.7097464063281702,-1.7886660527531002,-1.7737176282141685,-1.669634873269906,-1.4899938609514949,-1.2554661492290666,-0.9912070425752414,-0.7237350462373093,-0.4777351215992331,-0.27321530867333416,-0.1233939998000759,-0.033568215661826946,-0.0010661901019926247,-0.016227474826754865,-0.06420703680513748,-0.12729943103138605,-0.18743115731542692,-0.2284697280345736,-0.23806538372205785,-0.2088282308959481,-0.13876350987238018,0.05829735410958374,0.20182995616500854,0.15428485283995744,0.13716215389591696,0.13144143105949405,0.12564174857151975,0.11908974992209359,0.11550403067674873,0.11667604837070517,0.1201521705242901,0.1220065540603457,0.12024392674934574,0.11588605124267998,0.11204119877152509,0.11147743987808158,0.1141949835979617,0.11762242337211419,0.11910398665786351,0.11785353948176508,0.11525619814363264,0.11373121402648516,0.114759910005345,0.11764295842776003,0.12033589700528495,0.12136961581042016,0.12118024325980585,0.12241913390474186,0.1294875368761943,0.1476153008985362,0.21631075661803828
5,6.0,20.0,0.051278390231045794,-0.3039276469759519,-0.7283957308671979,-1.2094667859830828,-1.7304456239881776,-2.2718639100100755,-2.8130918732487578,-3.334137238149634,-3.8174326782041095,-4.249407545689554,-4.621653021752221,-4.931533948171738,-5.182169123646712,-5.381773021672747,-5.5424384794293236,-5.6785049788242405,-5.804711926773039,-5.934356943968206,-6.077677616467758,-6.240636622885604,-6.424238312970183,-6.624432363146099,-6.832585526710303,-7.036440097314935,-7.221422275990296,-7.372136882718602,-7.473874996843728,-7.513977552932526,-7.419734724013572,0.20683019732068444,0.16137013618277563,0.13947334728319502,0.13036710866206885,0.1253976835288128,0.12138469971017293,0.11854772461861632,0.11758629272358659,0.11810288784273758,0.11877575583166815,0.11843356598390654,0.11685931175237353,0.11484214124929801,0.11356424003632623,0.11371059344592493,0.11495445026230748,0.11625917006385923,0.11668898601433465,0.11607376206831505,0.1151459968277651,0.1150875323628405,0.11667064199878482,0.11957572677636721,0.12254272254896657,0.12443468441831272,0.12591641608559234,0.13151043036972682,0.15032146455294065,0.23375142254831108
6,5.5,5.0,-0.046496476712502115,-0.21223098770634158,-0.4205544830649228,-0.6712002702384243,-0.9615124567543369,-1.2863350034854055,-1.638099484355494,-2.00712131060649,-2.3820966098926717,-2.7507603748312563,-3.100654094997074,-3.419932832632887,-3.6981344355598247,-3.926834650587344,-4.100127699973732,-4.21488491302323,-4.270771612088388,-4.270034533081638,-4.217090505198387,-4.117974473225651,-3.979717160935563,-3.8097238308922914,-3.615223551591807,-3.402839167088523,-3.178309800052514,-2.9463726049641608,-2.710788082407792,-2.4744789436475876,-2.0850495006843595,0.19577771294534696,0.1530605326567349,0.13251698552343708,0.12457566042216146,0.12094487172256353,0.11783582633962272,0.1147792320320902,0.11260542313245568,0.11203633871291013,0.11301245717498451,0.11472703386075074,0.11610942886589087,0.11635212472816288,0.11523998347538635,0.11322822788813038,0.11126058888547967,0.11033274706970453,0.11094828404174271,0.11281849377332465,0.11506611908316822,0.1167698687679875,0.11745712122597808,0.1173011971743408,0.11701676248481284,0.11766649347813783,0.12080317841366126,0.12929989017467403,0.14827809091784439,0.22046660046450298
7,5.5,10.0,-0.024180115876150227,-0.24726626621781003,-0.5087221933225105,-0.8089456963799582,-1.1465932065373752,-1.518295735599009,-1.91854368717341,-2.3397838252734187,-2.772760651491394,-3.2070892576804306,-3.632023848477251,-4.037347365574322,-4.414284086173704,-4.756322514755603,-5.059840536547962,-5.324440919287088,-5.552935308361406,-5.75096412160039,-5.926278808481786,-6.087763298880495,-6.244302261598514,-6.4036292525305765,-6.571288875297241,-6.749835713963485,-6.9383613564879925,-7.132405556082286,-7.324254638094996,-7.503591483216683,-7.741793755448576,0.19886018082762436,0.1526618721576069,0.13034782941136094,0.12253608427758264,0.11981825587051506,0.11743246538109688,0.11447877066732269,0.11173613822251191,0.11014542778174172,0.11004147102607396,0.11101608104690074,0.11222105860980139,0.11281595822631885,0.1123297549647552,0.11086058662731595,0.10907711594527095,0.10796531376945066,0.10832051288656454,0.11022981024760006,0.11295979379259911,0.11538899415334761,0.11666234294788647,0.11667313487541675,0.11619582572671837,0.11670669903294498,0.12021221959282642,0.12964035678220404,0.14978347123048455,0.22497612831722794
8,5.5,20.0,-0.2714626423934442,-0.4119950275303585,-0.6001036045710773,-0.8371914257945763,-1.1218518825720525,-1.4497066996116708,-1.8135383150560511,-2.2037316623834564,-2.6090010786997277,-3.017340315383174,-3.4170942341696176,-3.798024943455504,-4.152244288214217,-4.474884394783415,-4.7644160362670425,-5.022561809998362,-5.253807999155869,-5.464569062986976,-5.662110111603114,-5.853360873060641,-6.0437755851042745,-6.236380944860257,-6.431134839600501,-6.624671677620706,-6.810464621678885,-6.979377061227718,-7.120531335731122,-7.222386446484504,-7.275493553661063,0.19739856973395836,0.15192933865850505,0.12954587014637264,0.12139907764983121,0.11892029324054763,0.11754855044390435,0.11599551501169089,0.11445324231618015,0.11346516608317762,0.11338120255451675,0.11413487451651144,0.11525189300426886,0.11605833172033705,0.11600295538931628,0.1149491703747254,0.11330000320667918,0.1118649360451323,0.11147030027960333,0.11249651500680435,0.11467442819070264,0.11730932561142242,0.11971413923155486,0.12151626423925127,0.12271618710876168,0.12372282816961433,0.1258466724621209,0.1326420280413261,0.1512041829263997,0.23104946635765006
9,5.0,5.0,0.024548010685282052,-0.17277604642579017,-0.38071588186878813,-0.5991149884937103,-0.8286513757932867,-1.0706298768294096,-1.3266340815955888,-1.5980901552472662,-1.8858057650065454,-2.189561677155382,-2.5078260860429604,-2.8376475764003763,-3.174753557274233,-3.5138481093308482,-3.8490700956262343,-4.17454538460138,-4.484947314117276,-4.775979600220676,-5.04470360929806,-5.289659239839456,-5.510758063893314,-5.708968107246174,-5.885838601354701,-6.042942568926649,-6.181324222701339,-6.3010395797991,-6.40086265338526,-6.478202293667984,-6.546369350838538,0.20066883986698555,0.1546644038451636,0.13361087749606698,0.12643229398380285,0.12335164847611114,0.12020684451866952,0.11683690860882279,0.11444553960225635,0.11380579909429835,0.11457108065799586,0.11563906200870436,0.11595531456885633,0.11508739551228285,0.11335085121424296,0.11156608084374985,0.11059507057761164,0.11087771569638337,0.1122359815891134,0.11405923429614648,0.115694236162915,0.1167682067449571,0.11730399151940048,0.11763129122135188,0.11820582492115153,0.11957039982187838,0.1227999804092744,0.13062839367007809,0.14856812393671864,0.22034551543330538
