,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)]
0,6.5,5.0,0.25581130064028135,-0.02082494711678685,-0.24764371121508294,-0.4168149772094034,-0.524635433024513,-0.5717280606370492,-0.5628497186973899,-0.5063266632495279,-0.41317774361183424,-0.29602268828636813,-0.16789206500920556,-0.041065136542136414,0.07394501553189864,0.16916315249287117,0.2396152529654332,0.2834585471104534,0.3017912155935515,0.29819037891742795,0.2780530145005764,0.24782908776809728,0.21423823412974083,0.18355481339733362,0.16102575087583318,0.1504650012214733,0.1540426983633766,0.17226275636472407,0.20410651922032613,0.24730093174060577,0.2986697948557548,0.3545195893358519,0.24188024710968092,0.18305437409206654,0.15214346823817493,0.1407262369931712,0.13838371871314675,0.13818243413377734,0.13742828840836704,0.13586543206628976,0.1341452711899417,0.13292905619768539,0.13244364789268867,0.1324234119344045,0.13235014208398793,0.13179976413670666,0.13069382067009716,0.12934035865975754,0.12825985406828064,0.12789744720737192,0.12840179427379847,0.12962620907631717,0.13132627992060705,0.13334961180970453,0.13561877145943893,0.1379153387641492,0.1397668778780333,0.14092300219772652,0.1429098066331908,0.15161160719953765,0.17816495212680045,0.23330507884631055
1,6.5,10.0,0.38912217069295707,0.04529133178921564,-0.2639838660753091,-0.5236234828038094,-0.7223760877191382,-0.8537869399198079,-0.9166956759165519,-0.9151925154262622,-0.8580311909601839,-0.7575612457409738,-0.6283120444498476,-0.48540080030126737,-0.34296033329719844,-0.2127811559171988,-0.1033215154508202,-0.019193530662624934,0.03884256867607307,0.0734079930237582,0.0896552982561194,0.09418353983665233,0.09387988770542612,0.09485030369890286,0.10157557429129957,0.11638490012427129,0.13928794250893328,0.16815312701355417,0.19917354279940722,0.2275278270044778,0.24812978349434284,0.2563570044528723,0.24072877291887446,0.18430629608057314,0.1550521569462786,0.1429895591753968,0.13855821150878103,0.13636740828203472,0.1344921070476643,0.13262165768797557,0.13096544196278515,0.129807876661499,0.12930894572151838,0.12939492019753823,0.1297759924346805,0.13010574550531187,0.13018452563604416,0.1300557904559101,0.12992565152586769,0.12997920260981524,0.13026007193955158,0.13072908656682097,0.13145062936094948,0.13269174101743372,0.13474407916591574,0.13752627733139702,0.14038311247046084,0.1426553953173108,0.1454600923296581,0.1545951481329364,0.18180993943578302,0.2389006416052025
2,6.5,20.0,0.17895384418940208,0.09810611682442397,-0.044183167195033284,-0.24403521413050436,-0.4937111963712884,-0.7820742455784633,-1.095346782766203,-1.418095891942771,-1.734359536759771,-2.0288026325079622,-2.2877962991751013,-2.5003189705240554,-2.658599466364854,-2.7584528296735806,-2.799292972664142,-2.7838398530936557,-2.717573888005829,-2.608007699779954,-2.4638647079142375,-2.2942532514880423,-2.1079194347730725,-1.9126426547277129,-1.714820282826939,-1.5192562425837535,-1.3291502666402393,-1.1462573577924176,-0.971176003721691,-0.8037109054781668,-0.6432560067988237,-0.4891500407630247,0.24619908214474537,0.1859631348030756,0.15462629544969858,0.14325310777693767,0.14074829528672964,0.14008081498650538,0.1388239374304896,0.13694837459259357,0.1350931152329647,0.13371950476822225,0.1328893095317639,0.13239437389170447,0.1319777639902038,0.13147757662031181,0.13085158882518522,0.13012970202221674,0.1293675580484841,0.12864587944933475,0.12811067802129741,0.12801293824627766,0.12867301724686167,0.1303269424675654,0.13289619871299269,0.1358485616801567,0.13839196004302354,0.14025163884073344,0.14327775597138326,0.1536891560969083,0.18228995001148168,0.2389670257922322
3,6.0,5.0,0.5205429113369165,0.1181484461283361,-0.2857320848407918,-0.6660225320124236,-0.9992284000026181,-1.2656044370361124,-1.450998140697446,-1.5481415915880938,-1.5572260482876397,-1.4856811937426522,-1.3471779620138302,-1.159975962075311,-0.9448210244687448,-0.7226545064683735,-0.5124173967545529,-0.32921315688514996,-0.18303793122828046,-0.0782057664251225,-0.013495993413438797,0.017042381091979853,0.022781096304825985,0.014902845424112606,0.004723387592495964,0.00216621022551751,0.014572052837689866,0.045963192971926234,0.09681269726733464,0.16429389382109272,0.24292743133176048,0.3254994098258209,0.2300336010345162,0.1761454730208281,0.15122480229493204,0.14136627326194007,0.1369605270652704,0.13484532028355226,0.1345148758543666,0.1352006614826908,0.13554195960645268,0.1345721945980951,0.13243720406898588,0.1302353138622881,0.12916223622481338,0.12959359843187557,0.13085565684954165,0.13183716784566793,0.13181202899012315,0.13085734574625296,0.1297181292965201,0.12931429482131823,0.13022429359565657,0.13245721839595215,0.13555566476693262,0.13881250926138686,0.14148142145912676,0.14325349391209094,0.14558403802154532,0.154161781794163,0.18024760759256303,0.2356056308127766
4,6.0,10.0,0.41818285687638,0.08539018773615699,-0.3146196812358245,-0.7682402947373584,-1.257456907323824,-1.7608808837660996,-2.255140947490936,-2.7165206276042655,-3.12269578172092,-3.4544111127711052,-3.6969301592929202,-3.841117195088804,-3.884040164081295,-3.8290361611178736,-3.685238014639512,-3.4666143323430187,-3.190629462761953,-2.876667432742256,-2.544380099600024,-2.212127063946211,-1.8956520804003034,-1.607110103251518,-1.354512573384713,-1.1416099006119282,-0.9681815349082955,-0.8306637736500037,-0.7230154984667769,-0.6377079808115229,-0.5667233830570265,-0.5024597844758694,0.23604484964098232,0.17809549771299904,0.1509875149141596,0.14308326352082976,0.14154695684433646,0.1398074354781232,0.13672218655531307,0.1334335437525434,0.13116274027818817,0.1301815774030894,0.1298684881932962,0.12939882882361214,0.1283931691247574,0.12712156736186386,0.1262537907670164,0.1263545831927691,0.12746187688353777,0.129054768668282,0.13042532833964504,0.13116498798679438,0.1314465542151677,0.13192201033887616,0.13324966710359845,0.1355167585327268,0.13809511424511575,0.14039412782341926,0.1436767894447333,0.15359928375620488,0.18089949533750246,0.23606397090657236
5,6.0,20.0,0.19571181319099318,0.13661767105112316,-0.009460767863723707,-0.24241921596073276,-0.5567473028995791,-0.9418533032580773,-1.3829023915110312,-1.862109917873877,-2.360379085815784,-2.8591217478728677,-3.3420651988121652,-3.7968396770018713,-4.216153946396999,-4.598404859950701,-4.947633016134551,-5.272805788784687,-5.586497576711979,-5.9031078989064625,-6.236819204072202,-6.599531958613542,-6.999018604547897,-7.437513249926069,-7.910904059632507,-8.408619011574208,-8.914218369238425,-9.40662163395366,-9.861828728406195,-10.254942071255648,-10.562273109342105,-10.763314616197615,0.24113929878011245,0.18013309991857857,0.15154117363833566,0.14441736517185916,0.144850089463111,0.1447551149030493,0.1420541105269164,0.1378403339155191,0.13422113408399114,0.13276070870302667,0.13354140144398066,0.13528126912053676,0.1363180865294032,0.13562143032592786,0.13328575161891656,0.13041957187978004,0.1285034700531129,0.1284703327796828,0.13011335416416997,0.1323543773827206,0.13411769725579845,0.13506653430955573,0.13570224864208846,0.13679517660455245,0.1386064909342721,0.1408679597322837,0.14442400766457358,0.15450082333564283,0.18262477495800275,0.24113869911292257
6,5.5,5.0,0.21006184707480557,-0.0727650589492862,-0.408347823247116,-0.7897680994040507,-1.2077243572504572,-1.651093478842851,-2.107636898357079,-2.5647773257154265,-3.010367338312035,-3.4333682116211035,-3.824370317808248,-4.17590657267769,-4.482537959517402,-4.740722115064362,-4.948503812053557,-5.1050894436020675,-5.210383425730104,-5.264564599060586,-5.267771561515761,-5.219946664524575,-5.120860799851065,-4.970310729601,-4.768452589913257,-4.516214990415053,-4.215718853045418,-3.870632400964192,-3.486398085071455,-3.070285330619682,-2.6312472657635255,-2.179588496836762,0.23948471489876585,0.182417079266433,0.15479725729110333,0.14585176620717472,0.14383622267673726,0.14243279616825502,0.14015280430672208,0.13759303416793786,0.13555854042416612,0.13428725898999222,0.13350012091538796,0.13281788497484182,0.13209521170309008,0.13146411728649596,0.13114651262656443,0.13122407624042504,0.13154641235101228,0.13183856433462723,0.1319272734033131,0.13193159949706748,0.13227795902095205,0.13346834885200173,0.13566780874878082,0.1383748843506558,0.14054990825336552,0.14149236906675142,0.14273221168077915,0.15085609779751247,0.17821239648051862,0.23606174051631376
7,5.5,10.0,0.14065438788182602,0.008407474206949558,-0.1999962144755438,-0.4833513679435828,-0.8357519470069977,-1.246943129684847,-1.7031428027315658,-2.1882745853765484,-2.6854957616614183,-3.178855627671651,-3.6548957677626763,-4.103991925293249,-4.521262210923704,-4.90691265275434,-5.265953332248297,-5.607299648908718,-5.942350741732161,-6.2832069832416755,-6.640738448154162,-7.022739119522068,-7.432396614554243,-7.86726712546308,-8.318888141776295,-8.773080334700374,-9.210910519535801,-9.610206016967078,-9.947452339370754,-10.19986243566699,-10.34739743410227,-10.374528739733949,0.2397128650934141,0.17994233437288668,0.1512275157733735,0.1435866084278504,0.14367777063037518,0.1433524677704989,0.1403578806987184,0.13576263384924364,0.13180655687027068,0.13022755285431772,0.13117358085920636,0.1332930127684372,0.13482516797931446,0.1347116423998197,0.13309529739375767,0.1311390329988048,0.13028157062848686,0.13127451471812934,0.1336825862512333,0.13629540338504254,0.1380506926203842,0.13871553956646324,0.13890165418039893,0.13943381119475773,0.14057139162293256,0.1420501311718239,0.14481072454404123,0.15430173666278305,0.18223495750460839,0.2407430959797717
8,5.5,20.0,0.021739965007824977,0.18654007654400054,0.27048126268134753,0.2631386718365625,0.1589574668801932,-0.04224951720017166,-0.3352165886258696,-0.709573862591734,-1.1506107480818877,-1.6403966664975875,-2.159163441716692,-2.6868302568387534,-3.2045372605574975,-3.6960523831148553,-4.148927099347769,-4.5553037331264115,-4.9123041287726865,-5.221974068832378,-5.4907934719591225,-5.72880405660763,-5.948436285552965,-6.163145769164739,-6.3859811219007225,-6.628208964923308,-6.898117192991333,-7.200094612286332,-7.534063565664842,-7.8953061992165425,-8.27469395132045,-8.659290304160043,0.2385050085535618,0.17988686799459885,0.15142035154463723,0.1436798821549316,0.1442809948094614,0.14528544410446365,0.14388906483609157,0.1402218733038806,0.13570206615906633,0.13199315443939968,0.13020987630817463,0.13045211909244836,0.13191516604805312,0.13347536729474038,0.134302571879186,0.13417300128651335,0.13343907413510292,0.1327477425931588,0.1326691717387242,0.1334249941078132,0.13485400958416305,0.13657676113397374,0.13817603463663902,0.13927190097065678,0.13960272020596012,0.13950184283961645,0.1413302309566684,0.15184656933905802,0.1824748077376369,0.24338456619552779
9,5.0,5.0,0.14620125782755608,-0.05292576358925581,-0.29088652224759987,-0.5658168073045772,-0.8744201709987326,-1.212105655922479,-1.5732355786848558,-1.9514699624817764,-2.34018442289404,-2.732928671849651,-3.1238858119155166,-3.508287704596952,-3.8827446417394764,-4.245450374650586,-4.596236248993664,-4.936460343040903,-5.268731815203331,-5.596490986239391,-5.923479286126962,-6.253144995699118,-6.588042430540719,-6.9292823603227784,-7.276091104240742,-7.625524450999589,-7.972373592023488,-8.309277655288765,-8.62704198233108,-8.915139700443499,-9.162357840077764,-9.357533348466076,0.23495620273667184,0.17999919265324585,0.1527145317666739,0.14300110033704322,0.14022877805811934,0.13853891450183722,0.1363611008409077,0.13408322737053854,0.1324122683512241,0.13163196576687597,0.13151836245976514,0.13160790805296407,0.13150217390812227,0.1310335748023664,0.1302726087897335,0.12943523501783039,0.12876476835024875,0.12844823602236383,0.12860242866674337,0.12931901505099108,0.1307038818982408,0.13283108024748183,0.1355940691581327,0.13856153698388346,0.1410698772201156,0.14285685425734723,0.1455559397172574,0.15498243606440468,0.18182393779899492,0.2365763637824482
10,5.0,10.0,0.14127708220682822,0.020489647955982494,-0.12673149871767886,-0.30261307539488425,-0.5090275741236722,-0.747264943064205,-1.017797646604287,-1.3200662035513526,-1.6523200808124052,-2.0115447700683693,-2.3934977182840957,-2.792868596768731,-3.2035589074321966,-3.6190637398768555,-4.032918896842944,-4.439166388149875,-4.832781519440827,-5.210005680505329,-5.5685366072403815,-5.907543292561417,-6.2274928359217165,-6.529803607656758,-6.816359104497075,-7.0889418921167655,-7.348657390543909,-7.595420531414295,-7.827577832984638,-8.041716049062591,-8.232690068155415,-8.393876605689613,0.23891221172932028,0.18340864253564573,0.15520693100540997,0.1441360508141875,0.14015521872986833,0.13784311224678242,0.13569447316734937,0.133877518016284,0.13273651616327126,0.13222574957641894,0.13197534800644856,0.13160205746794096,0.13095358039229021,0.13015851617728103,0.12950577223531456,0.12925815470201907,0.1295197436373903,0.13023075928566435,0.13126965309920183,0.13256195383555622,0.13410026037211178,0.1358498155833939,0.1376107795928139,0.1389804744358508,0.13959454602975993,0.13986376342775583,0.14243554585024953,0.1539883175557623,0.18461494449899157,0.24260002222650826
11,5.0,20.0,-0.1583550782483008,0.11447380962415246,0.34300575711720227,0.5101594524646368,0.6012775552515419,0.6052949041667786,0.5156893702582047,0.33110619319409323,0.055577516419392695,-0.3017077303314507,-0.727083110892376,-1.2034847349783078,-1.7118424823356853,-2.2326500832267433,-2.7475650395061058,-3.240877016734071,-3.70069712691918,-4.119747255641015,-4.495668798199585,-4.830826515539243,-5.1316301436964356,-5.4074549582373015,-5.669279241789207,-5.928189975094356,-6.193912772859049,-6.473522923688381,-6.770465996184487,-7.0839797261899715,-7.408968323203058,-7.7363242901417,0.23671596680895635,0.18330670502230717,0.15580354272243038,0.1448237386928097,0.1413960973921565,0.14030264364676273,0.13937489299035102,0.13785550766858384,0.1355908808222366,0.13287834254463426,0.13041093656863,0.12899598905736462,0.12907253527515827,0.13037070115258442,0.13201980937847188,0.13303791286826847,0.13285394618675456,0.13159363786321818,0.13003671760688143,0.12926123901585054,0.1300838762674265,0.13257519622344632,0.13597280804217568,0.13906026759045598,0.14083623572907222,0.14144662455216458,0.14365507684540524,0.15464208918537753,0.18530190922323117,0.24450666169910718
