,ph,mMacid,E[f(1.25)],E[f(2.00)],E[f(2.75)],E[f(3.50)],E[f(4.25)],E[f(5.00)],E[f(5.75)],E[f(6.50)],E[f(7.25)],E[f(8.00)],E[f(8.75)],E[f(9.50)],E[f(10.25)],E[f(11.00)],E[f(11.75)],E[f(12.50)],E[f(13.25)],E[f(14.00)],E[f(14.75)],E[f(15.50)],E[f(16.25)],E[f(17.00)],E[f(17.75)],E[f(18.50)],E[f(19.25)],E[f(20.00)],E[f(20.75)],E[f(21.50)],E[f(22.25)],E[f(23.00)],std[f(1.25)],std[f(2.00)],std[f(2.75)],std[f(3.50)],std[f(4.25)],std[f(5.00)],std[f(5.75)],std[f(6.50)],std[f(7.25)],std[f(8.00)],std[f(8.75)],std[f(9.50)],std[f(10.25)],std[f(11.00)],std[f(11.75)],std[f(12.50)],std[f(13.25)],std[f(14.00)],std[f(14.75)],std[f(15.50)],std[f(16.25)],std[f(17.00)],std[f(17.75)],std[f(18.50)],std[f(19.25)],std[f(20.00)],std[f(20.75)],std[f(21.50)],std[f(22.25)],std[f(23.00)]
0,7.0,0.0,-0.287131060135,0.180610446567,0.753402096575,1.41047256688,2.12138661728,2.84871282875,3.55242346593,4.19530967029,4.74831940386,5.19461234705,5.5313452406,5.76872868472,5.92658019336,6.02924795368,6.10019369241,6.15756806602,6.21178161676,6.2654684327,6.3155445963,6.35649824652,6.38376607403,6.39612907055,6.39645016226,6.39063905436,6.38529384115,6.38485104593,6.38918816196,6.39244467144,6.38343764688,6.34757624416,0.108813047657,0.0887195333501,0.0790704789345,0.0730630603852,0.0695512695458,0.0684963512417,0.0694288344243,0.0711881212364,0.0721253793933,0.0711082522407,0.0686553009228,0.0668567840193,0.0673795653532,0.0694083412449,0.0705906494043,0.0696373361102,0.0674262477372,0.0659521711716,0.0662052901212,0.0673788004507,0.0683109221656,0.068821312643,0.0693628784599,0.069986183091,0.0703529202988,0.070861696506,0.0731021236056,0.0786922564949,0.0892280024186,0.110673612017
1,7.0,5.0,-0.289245911613,0.138768214722,0.665713193783,1.27373995566,1.9358806924,2.61837357712,3.28469718682,3.90064773118,4.4394082899,4.88543167329,5.23615501938,5.50108247744,5.69844762202,5.85031028425,5.97735688924,6.09471575875,6.2097631301,6.32229462398,6.42673979821,6.51554474107,6.58257631042,6.62549162082,6.64642126846,6.65087484989,6.64534449244,6.63444852845,6.6185584111,6.59266010413,6.54680371929,6.46802260005,0.128665269704,0.0961221914374,0.0822650632758,0.0775765649346,0.0762791082733,0.0755013275144,0.0744904115501,0.0735469168362,0.0727396755873,0.0716945309909,0.070495869187,0.0700501977882,0.0709673235931,0.0724162469656,0.0728313610877,0.0716082904331,0.0697465336524,0.0687970416368,0.0692022642714,0.0701058832843,0.0707762150539,0.0714669120717,0.0726899522241,0.074124042614,0.0748568838957,0.074754985088,0.0753828696616,0.0799824070031,0.094092299355,0.127171880255
2,7.0,10.0,-0.285093419342,0.0724815457006,0.522269510632,1.04990550988,1.63247371926,2.24053336967,2.84181483665,3.40596024186,3.90930037492,4.33851757315,4.69223375132,4.98005583537,5.21927245052,5.43003287435,5.63025594094,5.83157337309,6.03729536563,6.24279029026,6.43797671418,6.61105469458,6.75230110507,6.85682623621,6.92556078617,6.96431645838,6.98133909739,6.9841844733,6.97689133078,6.95827419565,6.92178912597,6.85695335242,0.126716291096,0.0945559738137,0.0811909766377,0.076652979621,0.0750411662941,0.0737721693931,0.0725105792659,0.0718363214996,0.0717621475262,0.0715446170041,0.0708199583119,0.070237402761,0.0705617227354,0.0714375480835,0.0716875369862,0.0707976546054,0.0696317606631,0.0695027871919,0.070617182075,0.0719405993397,0.0725764678048,0.0726752543422,0.0729067674052,0.073425277911,0.0738279637485,0.0741889173298,0.0757748550916,0.0809512451189,0.094212162904,0.124951780848
3,7.0,20.0,-0.0510082866569,-0.00131505283891,0.132674511585,0.355166332725,0.661634806519,1.03892319404,1.46712943597,1.92292265895,2.38351103973,2.83027133951,3.25111913298,3.64106701543,4.00095476834,4.33488368094,4.64725771873,4.9404094516,5.21354047274,5.46323024892,5.6852098983,5.87666611963,6.03815616727,6.17435337553,6.29323409923,6.4038455805,6.51327604585,6.62372795435,6.73060127548,6.8222183061,6.88136831377,6.88835200052,0.131196394534,0.0956977993355,0.0812498572876,0.0763954352201,0.0749428162096,0.0746725537312,0.0749494363567,0.0753395169747,0.0750512425751,0.0734376223817,0.070963862649,0.0692915974661,0.0697589513802,0.0717159411427,0.0731574495348,0.0728009197104,0.0711096780714,0.0696230241158,0.0694227485429,0.0703462410744,0.0716738507893,0.0729790414252,0.0740453362804,0.0744953866242,0.0740952466976,0.0735049306279,0.0744826923186,0.0796456936778,0.0939902397952,0.127608754281
4,6.5,0.0,-0.393818934146,0.0654067352214,0.633092144274,1.28753940228,1.99654374699,2.7203618249,3.41662463685,4.04637756385,4.58000106694,5.00163557882,5.31099372717,5.52204719186,5.65886636635,5.74964332892,5.82040025009,5.88994016126,5.96720760883,6.05151497726,6.13528209219,6.20825894206,6.26187045622,6.29239409988,6.3021282551,6.29836040102,6.29060875216,6.28708351099,6.29147242456,6.30099988712,6.30628074073,6.2929697087,0.129534505573,0.0960857809944,0.0814252856264,0.0763926328186,0.0752020841057,0.0749910889901,0.0749299535395,0.0750189698606,0.0749303668044,0.074056926902,0.0725184667902,0.0714875553212,0.0719549935992,0.0733138577668,0.0739187677545,0.0729512994762,0.0713057411788,0.070618608354,0.0714267786518,0.0727196299458,0.0734091238195,0.0735492724801,0.0739441591381,0.0749118711044,0.0759135070457,0.0765568671691,0.0777233751418,0.0821129729313,0.0953405248232,0.127367133771
5,6.5,5.0,-0.140122484984,0.00273955626031,0.297759530266,0.733991813854,1.2864023891,1.91829451264,2.58604863903,3.24538896148,3.85791220936,4.39643221677,4.84791144095,5.21333584803,5.50467881055,5.73986881198,5.93717869987,6.1105464011,6.26698033777,6.40653154745,6.52453030861,6.61513452437,6.67491892674,6.70531146355,6.71312511217,6.70906119777,6.70470210181,6.70894374987,6.72494919292,6.74851625155,6.768316608,6.76793565394,0.143508054713,0.0976320521061,0.0844962514046,0.0829245423489,0.0820429899024,0.0798071163484,0.0772091684899,0.0756427968569,0.0753721894378,0.0754042007854,0.0748219332021,0.0737878946067,0.0730755670355,0.0729151074378,0.0727771988537,0.0723174782685,0.0720139465521,0.0725436011635,0.0737618322351,0.0747844596468,0.0750736127143,0.0750835692643,0.0757751620081,0.077630424334,0.0802563938627,0.0826901157988,0.0839206833322,0.0850430432337,0.0967538120846,0.143098578364
6,6.5,10.0,-0.00265912265985,0.00256916614455,0.137975692256,0.403348862475,0.785254761258,1.2583954259,1.78932033165,2.34183561999,2.88295084703,3.38797955917,3.84357019344,4.2479735422,4.60859829022,4.93764709367,5.24714098316,5.54475193767,5.83156392637,6.10224482785,6.34736950833,6.55699892995,6.72428537497,6.84794156924,6.9328144533,6.98842270516,7.02594195091,7.05457006538,7.07834913618,7.09435723833,7.09276200331,7.05870382142,0.144428699436,0.0971569907714,0.0845014609767,0.0833934905301,0.0827412604434,0.080800432497,0.0784972468748,0.0769964379578,0.0765831957765,0.0765132204618,0.0760070413284,0.0751438552328,0.0745877170614,0.0746089424485,0.0747602583017,0.0746065587999,0.0743545170579,0.0744892447429,0.0749700976555,0.0751918269236,0.0748194440583,0.0743988394152,0.0749836635089,0.0771246897422,0.0802848062307,0.0830975748409,0.0841894568683,0.0847643820705,0.0961988040312,0.142552259613
7,6.5,20.0,0.021257683522,-0.0184126473598,-0.0318186079113,-0.0118020460055,0.0430807398635,0.12849794461,0.235983824114,0.355894660568,0.480833166043,0.608491938775,0.742971320383,0.894066552038,1.07464147496,1.2968262265,1.56817130373,1.88894169374,2.2513925768,2.6412690937,3.04108268628,3.43417356367,3.80834111469,4.15797575013,4.48409190924,4.79231068457,5.08944069021,5.37970306161,5.66170953436,5.9270626163,6.16095540082,6.34459542431,0.145980884425,0.0988106532044,0.0867002050366,0.0855442401401,0.0836287742473,0.0799897448144,0.0767413413385,0.0754822706514,0.07586914902,0.0763375873356,0.0758880591609,0.0748784260735,0.0742637917982,0.0743095170333,0.0743674666033,0.0738943399547,0.07322519874,0.0731137292609,0.0736893697456,0.0742722337453,0.0742752469455,0.0739941865747,0.0744258409202,0.0763719864,0.0796738642957,0.0830637976428,0.0847445818945,0.0851451904433,0.095557939588,0.142300618729
8,6.0,0.0,-0.374132326892,0.0323678628001,0.537679445401,1.12723927122,1.77702965056,2.45518099,3.12545983462,3.75213107354,4.30522318509,4.76498755923,5.12444900244,5.38938024768,5.57570527689,5.7050150544,5.79938825783,5.87685207806,5.94857989449,6.01836888185,6.08424603699,6.14145118962,6.1857004208,6.21564519671,6.23378729194,6.24564826058,6.25757039415,6.27393639392,6.29474591642,6.31434176832,6.32170612438,6.30227325786,0.127278329839,0.0938902053551,0.080632868974,0.0774183052102,0.0770468981605,0.0759770782072,0.0738459610909,0.0720853741402,0.0717427351237,0.0722468805853,0.0723995656293,0.071867989791,0.0712593782702,0.071109795348,0.0712805449232,0.071426091386,0.0715836788998,0.0719672671119,0.0724191354638,0.0725031084299,0.0722098106366,0.0722496009193,0.0733130757067,0.0750725507944,0.076360641067,0.0765191705783,0.0766072193096,0.0799847070969,0.0931008112296,0.125987950275
9,6.0,5.0,0.144295732967,0.108674077084,0.164258457768,0.324484127998,0.592295325687,0.959237301336,1.40673541481,1.90932754284,2.43908602284,2.97012569172,3.48208081921,3.96175807832,4.40275168108,4.8034228785,5.1641340579,5.4847866139,5.7635234766,5.9969893067,6.18194524549,6.31754006526,6.40729175349,6.45991059241,6.48848178574,6.50805026633,6.53219309827,6.56949706941,6.62092886283,6.67885109483,6.72799962812,6.74821902358,0.141174946315,0.096265843447,0.0841306744791,0.0818906539769,0.0805762953729,0.0793790556133,0.0786167333919,0.0781786985074,0.0776427213277,0.0765966072799,0.0750806768564,0.073743893118,0.0732674727711,0.0735582242367,0.0738264470098,0.0735090976831,0.0728595847166,0.0725707281726,0.0729527235765,0.0736632202119,0.0742179737051,0.0745542359479,0.0751084914308,0.0765095575837,0.0790672491727,0.0821456755647,0.084123318943,0.0851844247214,0.0965461809555,0.144814177563
